id,name,node_id,ctr_id,freq_id,scenario,weight,problem_type,dstart,dend,tstep
1,init22_1_1,1,1,0,3,1,UC,2022-08-08 00:00:00,2022-08-14 23:00:00,60
2,init22_1_2,1,1,0,3,1,UC,2022-09-12 00:00:00,2022-09-18 23:00:00,60
3,init22_1_3,1,1,0,3,1,UC,2022-08-29 00:00:00,2022-09-04 23:00:00,60
4,init22_1_4,1,1,0,3,1,UC,2022-05-02 00:00:00,2022-05-08 23:00:00,60
5,init22_1_5,1,1,0,3,1,UC,2022-11-14 00:00:00,2022-11-20 23:00:00,60
6,init22_1_6,1,1,0,3,1,UC,2022-10-24 00:00:00,2022-10-30 23:00:00,60
7,slow27_2_1,2,1,0,1,1,UC,2027-11-14 00:00:00,2027-11-20 23:00:00,60
8,slow27_2_2,2,1,0,1,1,UC,2027-04-04 00:00:00,2027-04-10 23:00:00,60
9,slow27_2_3,2,1,0,1,1,UC,2027-07-18 00:00:00,2027-07-24 23:00:00,60
10,slow27_2_4,2,1,0,1,1,UC,2027-10-17 00:00:00,2027-10-23 23:00:00,60
11,slow27_2_5,2,1,0,1,1,UC,2027-10-17 00:00:00,2027-10-23 23:00:00,60
12,slow27_2_6,2,1,0,1,1,UC,2027-05-02 00:00:00,2027-05-08 23:00:00,60
13,prog27_3_1,3,1,0,2,1,UC,2027-07-04 00:00:00,2027-07-10 23:00:00,60
14,prog27_3_2,3,1,0,2,1,UC,2027-06-06 00:00:00,2027-06-12 23:00:00,60
15,prog27_3_3,3,1,0,2,1,UC,2027-08-08 00:00:00,2027-08-14 23:00:00,60
16,prog27_3_4,3,1,0,2,1,UC,2027-06-06 00:00:00,2027-06-12 23:00:00,60
17,prog27_3_5,3,1,0,2,1,UC,2027-02-28 00:00:00,2027-03-06 23:00:00,60
18,prog27_3_6,3,1,0,2,1,UC,2027-02-21 00:00:00,2027-02-27 23:00:00,60
19,step27_4_1,4,1,0,3,1,UC,2027-09-12 00:00:00,2027-09-18 23:00:00,60
20,step27_4_2,4,1,0,3,1,UC,2027-05-16 00:00:00,2027-05-22 23:00:00,60
21,step27_4_3,4,1,0,3,1,UC,2027-11-14 00:00:00,2027-11-20 23:00:00,60
22,step27_4_4,4,1,0,3,1,UC,2027-03-14 00:00:00,2027-03-20 23:00:00,60
23,step27_4_5,4,1,0,3,1,UC,2027-06-06 00:00:00,2027-06-12 23:00:00,60
24,step27_4_6,4,1,0,3,1,UC,2027-11-28 00:00:00,2027-12-04 23:00:00,60
25,hygn27_5_1,5,1,0,4,1,UC,2027-09-19 00:00:00,2027-09-25 23:00:00,60
26,hygn27_5_2,5,1,0,4,1,UC,2027-02-28 00:00:00,2027-03-06 23:00:00,60
27,hygn27_5_3,5,1,0,4,1,UC,2027-02-07 00:00:00,2027-02-13 23:00:00,60
28,hygn27_5_4,5,1,0,4,1,UC,2027-03-14 00:00:00,2027-03-20 23:00:00,60
29,hygn27_5_5,5,1,0,4,1,UC,2027-02-21 00:00:00,2027-02-27 23:00:00,60
30,hygn27_5_6,5,1,0,4,1,UC,2027-07-04 00:00:00,2027-07-10 23:00:00,60
31,slow32_6_1,6,1,0,1,1,UC,2032-03-06 00:00:00,2032-03-12 23:00:00,60
32,slow32_6_2,6,1,0,1,1,UC,2032-03-20 00:00:00,2032-03-26 23:00:00,60
33,slow32_6_3,6,1,0,1,1,UC,2032-07-24 00:00:00,2032-07-30 23:00:00,60
34,slow32_6_4,6,1,0,1,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
35,slow32_6_5,6,1,0,1,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
36,slow32_6_6,6,1,0,1,1,UC,2032-01-17 00:00:00,2032-01-23 23:00:00,60
37,prog32_7_1,7,1,0,2,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
38,prog32_7_2,7,1,0,2,1,UC,2032-08-07 00:00:00,2032-08-13 23:00:00,60
39,prog32_7_3,7,1,0,2,1,UC,2032-09-11 00:00:00,2032-09-17 23:00:00,60
40,prog32_7_4,7,1,0,2,1,UC,2032-06-19 00:00:00,2032-06-25 23:00:00,60
41,prog32_7_5,7,1,0,2,1,UC,2032-09-25 00:00:00,2032-10-01 23:00:00,60
42,prog32_7_6,7,1,0,2,1,UC,2032-06-12 00:00:00,2032-06-18 23:00:00,60
43,step32_8_1,8,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
44,step32_8_2,8,1,0,3,1,UC,2032-07-17 00:00:00,2032-07-23 23:00:00,60
45,step32_8_3,8,1,0,3,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
46,step32_8_4,8,1,0,3,1,UC,2032-05-15 00:00:00,2032-05-21 23:00:00,60
47,step32_8_5,8,1,0,3,1,UC,2032-08-28 00:00:00,2032-09-03 23:00:00,60
48,step32_8_6,8,1,0,3,1,UC,2032-12-04 00:00:00,2032-12-10 23:00:00,60
49,prog32_9_1,9,1,0,2,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
50,prog32_9_2,9,1,0,2,1,UC,2032-08-07 00:00:00,2032-08-13 23:00:00,60
51,prog32_9_3,9,1,0,2,1,UC,2032-09-11 00:00:00,2032-09-17 23:00:00,60
52,prog32_9_4,9,1,0,2,1,UC,2032-06-19 00:00:00,2032-06-25 23:00:00,60
53,prog32_9_5,9,1,0,2,1,UC,2032-09-25 00:00:00,2032-10-01 23:00:00,60
54,prog32_9_6,9,1,0,2,1,UC,2032-06-12 00:00:00,2032-06-18 23:00:00,60
55,step32_10_1,10,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
56,step32_10_2,10,1,0,3,1,UC,2032-07-17 00:00:00,2032-07-23 23:00:00,60
57,step32_10_3,10,1,0,3,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
58,step32_10_4,10,1,0,3,1,UC,2032-05-15 00:00:00,2032-05-21 23:00:00,60
59,step32_10_5,10,1,0,3,1,UC,2032-08-28 00:00:00,2032-09-03 23:00:00,60
60,step32_10_6,10,1,0,3,1,UC,2032-12-04 00:00:00,2032-12-10 23:00:00,60
61,hygn32_11_1,11,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
62,hygn32_11_2,11,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
63,hygn32_11_3,11,1,0,4,1,UC,2032-09-18 00:00:00,2032-09-24 23:00:00,60
64,hygn32_11_4,11,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
65,hygn32_11_5,11,1,0,4,1,UC,2032-05-22 00:00:00,2032-05-28 23:00:00,60
66,hygn32_11_6,11,1,0,4,1,UC,2032-02-28 00:00:00,2032-03-05 23:00:00,60
67,step32_12_1,12,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
68,step32_12_2,12,1,0,3,1,UC,2032-07-17 00:00:00,2032-07-23 23:00:00,60
69,step32_12_3,12,1,0,3,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
70,step32_12_4,12,1,0,3,1,UC,2032-05-15 00:00:00,2032-05-21 23:00:00,60
71,step32_12_5,12,1,0,3,1,UC,2032-08-28 00:00:00,2032-09-03 23:00:00,60
72,step32_12_6,12,1,0,3,1,UC,2032-12-04 00:00:00,2032-12-10 23:00:00,60
73,hygn32_13_1,13,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
74,hygn32_13_2,13,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
75,hygn32_13_3,13,1,0,4,1,UC,2032-09-18 00:00:00,2032-09-24 23:00:00,60
76,hygn32_13_4,13,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
77,hygn32_13_5,13,1,0,4,1,UC,2032-05-22 00:00:00,2032-05-28 23:00:00,60
78,hygn32_13_6,13,1,0,4,1,UC,2032-02-28 00:00:00,2032-03-05 23:00:00,60
79,hygn32_14_1,14,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
80,hygn32_14_2,14,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
81,hygn32_14_3,14,1,0,4,1,UC,2032-09-18 00:00:00,2032-09-24 23:00:00,60
82,hygn32_14_4,14,1,0,4,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
83,hygn32_14_5,14,1,0,4,1,UC,2032-05-22 00:00:00,2032-05-28 23:00:00,60
84,hygn32_14_6,14,1,0,4,1,UC,2032-02-28 00:00:00,2032-03-05 23:00:00,60
85,slow37_15_1,15,1,0,1,1,UC,2037-09-26 00:00:00,2037-10-02 23:00:00,60
86,slow37_15_2,15,1,0,1,1,UC,2037-10-24 00:00:00,2037-10-30 23:00:00,60
87,slow37_15_3,15,1,0,1,1,UC,2037-12-19 00:00:00,2037-12-25 23:00:00,60
88,slow37_15_4,15,1,0,1,1,UC,2037-09-26 00:00:00,2037-10-02 23:00:00,60
89,slow37_15_5,15,1,0,1,1,UC,2037-08-15 00:00:00,2037-08-21 23:00:00,60
90,slow37_15_6,15,1,0,1,1,UC,2037-01-10 00:00:00,2037-01-16 23:00:00,60
91,prog37_16_1,16,1,0,2,1,UC,2037-01-31 00:00:00,2037-02-06 23:00:00,60
92,prog37_16_2,16,1,0,2,1,UC,2037-09-26 00:00:00,2037-10-02 23:00:00,60
93,prog37_16_3,16,1,0,2,1,UC,2037-10-10 00:00:00,2037-10-16 23:00:00,60
94,prog37_16_4,16,1,0,2,1,UC,2037-06-13 00:00:00,2037-06-19 23:00:00,60
95,prog37_16_5,16,1,0,2,1,UC,2037-04-11 00:00:00,2037-04-17 23:00:00,60
96,prog37_16_6,16,1,0,2,1,UC,2037-08-22 00:00:00,2037-08-28 23:00:00,60
97,step37_17_1,17,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
98,step37_17_2,17,1,0,3,1,UC,2037-12-12 00:00:00,2037-12-18 23:00:00,60
99,step37_17_3,17,1,0,3,1,UC,2037-11-21 00:00:00,2037-11-27 23:00:00,60
100,step37_17_4,17,1,0,3,1,UC,2037-11-28 00:00:00,2037-12-04 23:00:00,60
101,step37_17_5,17,1,0,3,1,UC,2037-12-19 00:00:00,2037-12-25 23:00:00,60
102,step37_17_6,17,1,0,3,1,UC,2037-08-15 00:00:00,2037-08-21 23:00:00,60
