id,lin_id,scenario,date,value
1,1,3,2022-08-08 00:00:00,1100
2,1,3,2022-09-12 00:00:00,1100
3,1,3,2022-08-29 00:00:00,1100
4,1,3,2022-05-02 00:00:00,1100
5,1,3,2022-11-14 00:00:00,750
6,1,3,2022-10-24 00:00:00,750
7,1,1,2027-11-14 00:00:00,750
8,1,1,2027-04-04 00:00:00,1100
9,1,1,2027-07-18 00:00:00,1100
10,1,1,2027-10-17 00:00:00,750
11,1,1,2027-10-17 00:00:00,750
12,1,1,2027-05-02 00:00:00,1100
13,1,2,2027-07-04 00:00:00,1100
14,1,2,2027-06-06 00:00:00,1100
15,1,2,2027-08-08 00:00:00,1100
16,1,2,2027-06-06 00:00:00,1100
17,1,2,2027-02-28 00:00:00,750
18,1,2,2027-02-21 00:00:00,750
19,1,3,2027-09-12 00:00:00,1100
20,1,3,2027-05-16 00:00:00,1100
21,1,3,2027-11-14 00:00:00,750
22,1,3,2027-03-14 00:00:00,750
23,1,3,2027-06-06 00:00:00,1100
24,1,3,2027-11-28 00:00:00,750
25,1,4,2027-09-19 00:00:00,1100
26,1,4,2027-02-28 00:00:00,750
27,1,4,2027-02-07 00:00:00,750
28,1,4,2027-03-14 00:00:00,750
29,1,4,2027-02-21 00:00:00,750
30,1,4,2027-07-04 00:00:00,1100
31,1,1,2032-03-06 00:00:00,750
32,1,1,2032-03-20 00:00:00,750
33,1,1,2032-07-24 00:00:00,1100
34,1,1,2032-11-27 00:00:00,750
35,1,1,2032-03-27 00:00:00,750
36,1,1,2032-04-01 00:00:00,1100
37,1,1,2032-01-17 00:00:00,750
38,1,2,2032-10-09 00:00:00,750
39,1,2,2032-08-07 00:00:00,1100
40,1,2,2032-09-11 00:00:00,1100
41,1,2,2032-06-19 00:00:00,1100
42,1,2,2032-09-25 00:00:00,1100
43,1,2,2032-10-01 00:00:00,750
44,1,2,2032-06-12 00:00:00,1100
45,1,3,2032-03-27 00:00:00,750
46,1,3,2032-04-01 00:00:00,1100
47,1,3,2032-07-17 00:00:00,1100
48,1,3,2032-10-09 00:00:00,750
49,1,3,2032-05-15 00:00:00,1100
50,1,3,2032-08-28 00:00:00,1100
51,1,3,2032-12-04 00:00:00,750
52,1,2,2032-10-09 00:00:00,750
53,1,2,2032-08-07 00:00:00,1100
54,1,2,2032-09-11 00:00:00,1100
