id,name,node_id,ctr_id,freq_id,scenario,weight,problem_type,dstart,dend,tstep
1,init22_1_1,1,1,0,3,1,UC,2022-08-08 00:00:00,2022-08-14 23:00:00,60
7,slow27_2_1,2,1,0,1,1,UC,2027-11-14 00:00:00,2027-11-20 23:00:00,60
13,prog27_3_1,3,1,0,2,1,UC,2027-07-04 00:00:00,2027-07-10 23:00:00,60
19,step27_4_1,4,1,0,3,1,UC,2027-09-12 00:00:00,2027-09-18 23:00:00,60
25,hygn27_5_1,5,1,0,4,1,UC,2027-09-19 00:00:00,2027-09-25 23:00:00,60
31,slow32_6_1,6,1,0,1,1,UC,2032-03-06 00:00:00,2032-03-12 23:00:00,60
37,prog32_7_1,7,1,0,2,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
43,step32_8_1,8,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
49,prog32_9_1,9,1,0,2,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
55,step32_10_1,10,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
61,hygn32_11_1,11,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
67,step32_12_1,12,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
73,hygn32_13_1,13,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
79,hygn32_14_1,14,1,0,4,1,UC,2032-02-14 00:00:00,2032-02-20 23:00:00,60
85,slow37_15_1,15,1,0,1,1,UC,2037-09-26 00:00:00,2037-10-02 23:00:00,60
91,prog37_16_1,16,1,0,2,1,UC,2037-01-31 00:00:00,2037-02-06 23:00:00,60
97,step37_17_1,17,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
103,prog37_18_1,18,1,0,2,1,UC,2037-01-31 00:00:00,2037-02-06 23:00:00,60
109,step37_19_1,19,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
115,hygn37_20_1,20,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
121,step37_21_1,21,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
127,hygn37_22_1,22,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
133,prog37_23_1,23,1,0,2,1,UC,2037-01-31 00:00:00,2037-02-06 23:00:00,60
139,step37_24_1,24,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
145,hygn37_25_1,25,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
151,step37_26_1,26,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
157,hygn37_27_1,27,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
163,hygn37_28_1,28,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
169,step37_29_1,29,1,0,3,1,UC,2037-03-21 00:00:00,2037-03-27 23:00:00,60
175,hygn37_30_1,30,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
181,hygn37_31_1,31,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
187,hygn37_32_1,32,1,0,4,1,UC,2037-06-20 00:00:00,2037-06-26 23:00:00,60
