id,electrolyser_id,scenario,date,value
1,1,1,2022-01-01 00:00:00,0
2,1,1,2027-01-01 00:00:00,0
3,1,1,2032-01-01 00:00:00,0
4,1,1,2037-01-01 00:00:00,0
5,1,2,2022-01-01 00:00:00,2707900
6,1,2,2027-01-01 00:00:00,1538000
7,1,2,2032-01-01 00:00:00,1142000
8,1,2,2037-01-01 00:00:00,931000
9,1,3,2022-01-01 00:00:00,2239000
10,1,3,2027-01-01 00:00:00,1188000
11,1,3,2032-01-01 00:00:00,792000
12,1,3,2037-01-01 00:00:00,581000
13,1,4,2022-01-01 00:00:00,1795764.30241397
14,1,4,2027-01-01 00:00:00,944764.523109794
15,1,4,2032-01-01 00:00:00,583853.6647965399
16,1,4,2037-01-01 00:00:00,398468.740080721
17,2,1,2022-01-01 00:00:00,0
18,2,1,2027-01-01 00:00:00,0
19,2,1,2032-01-01 00:00:00,0
20,2,1,2037-01-01 00:00:00,0
21,2,2,2022-01-01 00:00:00,2707900
22,2,2,2027-01-01 00:00:00,1538000
23,2,2,2032-01-01 00:00:00,1142000
24,2,2,2037-01-01 00:00:00,931000
25,2,3,2022-01-01 00:00:00,2239000
26,2,3,2027-01-01 00:00:00,1188000
27,2,3,2032-01-01 00:00:00,792000
28,2,3,2037-01-01 00:00:00,581000
29,2,4,2022-01-01 00:00:00,1795764.30241397
30,2,4,2027-01-01 00:00:00,944764.523109794
31,2,4,2032-01-01 00:00:00,583853.6647965399
32,2,4,2037-01-01 00:00:00,398468.740080721
33,3,1,2022-01-01 00:00:00,0
34,3,1,2027-01-01 00:00:00,0
35,3,1,2032-01-01 00:00:00,0
36,3,1,2037-01-01 00:00:00,0
37,3,2,2022-01-01 00:00:00,2707900
38,3,2,2027-01-01 00:00:00,1538000
39,3,2,2032-01-01 00:00:00,1142000
40,3,2,2037-01-01 00:00:00,931000
41,3,3,2022-01-01 00:00:00,2239000
42,3,3,2027-01-01 00:00:00,1188000
43,3,3,2032-01-01 00:00:00,792000
44,3,3,2037-01-01 00:00:00,581000
45,3,4,2022-01-01 00:00:00,1795764.30241397
46,3,4,2027-01-01 00:00:00,944764.523109794
47,3,4,2032-01-01 00:00:00,583853.6647965399
48,3,4,2037-01-01 00:00:00,398468.740080721
49,4,1,2022-01-01 00:00:00,0
50,4,1,2027-01-01 00:00:00,0
51,4,1,2032-01-01 00:00:00,0
52,4,1,2037-01-01 00:00:00,0
53,4,2,2022-01-01 00:00:00,2707900
54,4,2,2027-01-01 00:00:00,1538000
55,4,2,2032-01-01 00:00:00,1142000
56,4,2,2037-01-01 00:00:00,931000
57,4,3,2022-01-01 00:00:00,2239000
58,4,3,2027-01-01 00:00:00,1188000
59,4,3,2032-01-01 00:00:00,792000
60,4,3,2037-01-01 00:00:00,581000
61,4,4,2022-01-01 00:00:00,1795764.30241397
62,4,4,2027-01-01 00:00:00,944764.523109794
63,4,4,2032-01-01 00:00:00,583853.6647965399
64,4,4,2037-01-01 00:00:00,398468.740080721
65,5,1,2022-01-01 00:00:00,0
66,5,1,2027-01-01 00:00:00,0
67,5,1,2032-01-01 00:00:00,0
68,5,1,2037-01-01 00:00:00,0
69,5,2,2022-01-01 00:00:00,2707900
70,5,2,2027-01-01 00:00:00,1538000
71,5,2,2032-01-01 00:00:00,1142000
72,5,2,2037-01-01 00:00:00,931000
73,5,3,2022-01-01 00:00:00,2239000
74,5,3,2027-01-01 00:00:00,1188000
75,5,3,2032-01-01 00:00:00,792000
76,5,3,2037-01-01 00:00:00,581000
77,5,4,2022-01-01 00:00:00,1795764.30241397
78,5,4,2027-01-01 00:00:00,944764.523109794
79,5,4,2032-01-01 00:00:00,583853.6647965399
80,5,4,2037-01-01 00:00:00,398468.740080721
81,6,1,2022-01-01 00:00:00,0
82,6,1,2027-01-01 00:00:00,0
83,6,1,2032-01-01 00:00:00,0
84,6,1,2037-01-01 00:00:00,0
85,6,2,2022-01-01 00:00:00,2707900
86,6,2,2027-01-01 00:00:00,1538000
87,6,2,2032-01-01 00:00:00,1142000
88,6,2,2037-01-01 00:00:00,931000
89,6,3,2022-01-01 00:00:00,2239000
90,6,3,2027-01-01 00:00:00,1188000
91,6,3,2032-01-01 00:00:00,792000
92,6,3,2037-01-01 00:00:00,581000
93,6,4,2022-01-01 00:00:00,1795764.30241397
94,6,4,2027-01-01 00:00:00,944764.523109794
95,6,4,2032-01-01 00:00:00,583853.6647965399
96,6,4,2037-01-01 00:00:00,398468.740080721
97,7,1,2022-01-01 00:00:00,0
98,7,1,2027-01-01 00:00:00,0
99,7,1,2032-01-01 00:00:00,0
100,7,1,2037-01-01 00:00:00,0
101,7,2,2022-01-01 00:00:00,2707900
102,7,2,2027-01-01 00:00:00,1538000
103,7,2,2032-01-01 00:00:00,1142000
104,7,2,2037-01-01 00:00:00,931000
105,7,3,2022-01-01 00:00:00,2239000
106,7,3,2027-01-01 00:00:00,1188000
107,7,3,2032-01-01 00:00:00,792000
108,7,3,2037-01-01 00:00:00,581000
109,7,4,2022-01-01 00:00:00,1795764.30241397
110,7,4,2027-01-01 00:00:00,944764.523109794
111,7,4,2032-01-01 00:00:00,583853.6647965399
112,7,4,2037-01-01 00:00:00,398468.740080721
113,8,1,2022-01-01 00:00:00,0
114,8,1,2027-01-01 00:00:00,0
115,8,1,2032-01-01 00:00:00,0
116,8,1,2037-01-01 00:00:00,0
117,8,2,2022-01-01 00:00:00,2707900
118,8,2,2027-01-01 00:00:00,1538000
119,8,2,2032-01-01 00:00:00,1142000
120,8,2,2037-01-01 00:00:00,931000
121,8,3,2022-01-01 00:00:00,2239000
122,8,3,2027-01-01 00:00:00,1188000
123,8,3,2032-01-01 00:00:00,792000
124,8,3,2037-01-01 00:00:00,581000
125,8,4,2022-01-01 00:00:00,1795764.30241397
126,8,4,2027-01-01 00:00:00,944764.523109794
127,8,4,2032-01-01 00:00:00,583853.6647965399
128,8,4,2037-01-01 00:00:00,398468.740080721
129,9,1,2022-01-01 00:00:00,0
