id,electrolyser_id,investment,capitalcost,leadtime,lifespan,nmax,inv_group,inv_model
1,1,2707900,0.1,1,20,999999,1,EXPANSION
2,2,2707900,0.1,1,20,999999,1,EXPANSION
3,3,2707900,0.1,1,20,999999,1,EXPANSION
4,4,2707900,0.1,1,20,999999,1,EXPANSION
5,5,2707900,0.1,1,20,999999,1,EXPANSION
6,6,2707900,0.1,1,20,999999,1,EXPANSION
7,7,2707900,0.1,1,20,999999,1,EXPANSION
8,8,2707900,0.1,1,20,999999,1,EXPANSION
9,9,2707900,0.1,1,20,999999,1,EXPANSION
10,10,2707900,0.1,1,20,999999,1,EXPANSION
11,11,2707900,0.1,1,20,999999,1,EXPANSION
12,12,2707900,0.1,1,20,999999,1,EXPANSION
13,13,2707900,0.1,1,20,999999,1,EXPANSION
14,14,2707900,0.1,1,20,999999,1,EXPANSION
15,15,2707900,0.1,1,20,999999,1,EXPANSION
16,16,2707900,0.1,1,20,999999,1,EXPANSION
17,17,2707900,0.1,1,20,999999,1,EXPANSION
18,18,2707900,0.1,1,20,999999,1,EXPANSION
19,19,2707900,0.1,1,20,999999,1,EXPANSION
20,20,2707900,0.1,1,20,999999,1,EXPANSION
