id,name,alias,tech,type,capacity,investment,active,bus_id,ch_eff,dch_eff,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_ad,fr_dt,fr_frt,fr_fr,longitude,latitude,n,contingency
1,ESS_DEEP_QLD,ESS_DEEP_QLD,PS,DEEP,0,0,1,3,0.85,0.85,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,153.029934,-27.476625,1,0
2,ESS_MEDIUM_QLD,ESS_MEDIUM_QLD,BESS,MEDIUM,570.00001175,0,1,3,0.916515,0.916515,20,20,5700.000077000001,0,570.00001175,0,570.00001175,0,1,1,0,1,0,0,0.3,0.05,1000,70,153.029934,-27.476625,1,0
3,ESS_SHALLOW_QLD,ESS_SHALLOW_QLD,BESS,SHALLOW,100.00000535,0,1,3,0.916515,0.916515,20,20,150.0000107,0,100.00000535,0,100.00000535,0,1,1,0,1,0,0,0.3,0.05,1000,70,153.029934,-27.476625,1,0
4,ESS_DEEP_NSW,ESS_DEEP_NSW,PS,DEEP,160,0,1,5,0.85,0.85,20,20,6049,0,160,0,160,2.2,0.85,0,1,1,0,0,0,0,0,70,151.209444,-33.865,1,0
5,ESS_MEDIUM_NSW,ESS_MEDIUM_NSW,BESS,MEDIUM,80.00000978,0,1,5,0.916515,0.916515,20,20,222.00007824000002,0,80.00000978,0,80.00000978,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.209444,-33.865,1,0
6,ESS_SHALLOW_NSW,ESS_SHALLOW_NSW,BESS,SHALLOW,50,0,1,5,0.916515,0.916515,20,20,75,0,50,0,50,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.209444,-33.865,1,0
7,ESS_SNOWY2_NSW,ESS_SNOWY2_NSW,PS,DEEP,0,0,1,5,0.85,0.85,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,151.209444,-33.865,1,0
8,ESS_DEEP_VIC,ESS_DEEP_VIC,PS,DEEP,0,0,1,8,0.85,0.85,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,144.943397,-37.766053,1,0
9,ESS_MEDIUM_VIC,ESS_MEDIUM_VIC,BESS,MEDIUM,0.00000244,0,1,8,0.916515,0.916515,20,20,0.00001952,0,0.00000244,0,0.00000244,0,1,1,0,1,0,0,0.3,0.05,1000,70,144.943397,-37.766053,1,0
10,ESS_SHALLOW_VIC,ESS_SHALLOW_VIC,BESS,SHALLOW,124.13,0,1,8,0.916515,0.916515,20,20,188.45999999999998,0,124.13,0,124.13,0,1,1,0,1,0,0,0.3,0.05,1000,70,144.943397,-37.766053,1,0
11,ESS_MEDIUM_SA,ESS_MEDIUM_SA,BESS,MEDIUM,0.00000275,0,1,10,0.916515,0.916515,20,20,0.000022,0,0.00000275,0,0.00000275,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.601,-34.929,1,0
12,ESS_SHALLOW_SA,ESS_SHALLOW_SA,BESS,SHALLOW,473.33000000000004,0,1,10,0.916515,0.916515,20,20,515.7073999999999,0,473.33000000000004,0,473.33000000000004,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.601,-34.929,1,0
13,ESS_DEEP_TAS,ESS_DEEP_TAS,PS,DEEP,0,0,1,9,0.85,0.85,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,147.325,-42.880556,1,0
14,ESS_MEDIUM_TAS,ESS_MEDIUM_TAS,BESS,MEDIUM,0.00000329,0,1,9,0.916515,0.916515,20,20,0.00001316,0,0.00000329,0,0.00000329,0,1,1,0,1,0,0,0.3,0.05,1000,70,147.325,-42.880556,1,0
15,VPP_CNQ,VPP_CNQ,BESS,SHALLOW,12.8612058442544,0,1,1,0.9,0.9,10,10,30.4751612882928,0,12.8612058442544,0,12.8612058442544,0,1,0,0,0,0,0,0,0,0,0,150.527562,-24.401793,1,0
16,VPP_GG,VPP_GG,BESS,SHALLOW,0.526286391400506,0,1,2,0.9,0.9,10,10,1.24705745759673,0,0.526286391400506,0,0.526286391400506,0,1,0,0,0,0,0,0,0,0,0,151.248803,-23.842948,1,0
17,VPP_SQ,VPP_SQ,BESS,SHALLOW,57.2595077643452,0,1,3,0.9,0.9,10,10,135.678781254111,0,57.2595077643452,0,57.2595077643452,0,1,0,0,0,0,0,0,0,0,0,153.029934,-27.476625,1,0
18,VPP_NNSW,VPP_NNSW,BESS,SHALLOW,22.6637970306253,0,1,4,0.9,0.9,10,10,53.1159935120446,0,22.6637970306253,0,22.6637970306253,0,1,0,0,0,0,0,0,0,0,0,151.652465,-30.504711,1,0
19,VPP_CNSW,VPP_CNSW,BESS,SHALLOW,12.6457812234291,0,1,5,0.9,0.9,10,10,29.6372771301625,0,12.6457812234291,0,12.6457812234291,0,1,0,0,0,0,0,0,0,0,0,150.157717,-33.4833,1,0
20,VPP_SNW,VPP_SNW,BESS,SHALLOW,38.4656968492903,0,1,6,0.9,0.9,10,10,90.1501059827839,0,38.4656968492903,0,38.4656968492903,0,1,0,0,0,0,0,0,0,0,0,151.209444,-33.865,1,0
21,VPP_SNSW,VPP_SNSW,BESS,SHALLOW,23.4197248966553,0,1,7,0.9,0.9,10,10,54.887623375009,0,23.4197248966553,0,23.4197248966553,0,1,0,0,0,0,0,0,0,0,0,147.359907,-35.11098,1,0
22,VPP_VIC,VPP_VIC,BESS,SHALLOW,55.805,0,1,8,0.9,0.9,10,10,131.808,0,55.805,0,55.805,0,1,0,0,0,0,0,0,0,0,0,144.943397,-37.766053,1,0
23,VPP_TAS,VPP_TAS,BESS,SHALLOW,6.475,0,1,9,0.9,0.9,10,10,15.175,0,6.475,0,6.475,0,1,0,0,0,0,0,0,0,0,0,147.325,-42.880556,1,0
24,VPP_SA,VPP_SA,BESS,SHALLOW,88.617,0,1,10,0.9,0.9,10,10,204.973,0,88.617,0,88.617,0,1,0,0,0,0,0,0,0,0,0,138.601,-34.929,1,0
