id,gen_id,scenario,date,value
1,25,1,2044-07-01 00:00:00,0
2,1,1,2026-07-01 00:00:00,10
3,18,1,2045-07-01 00:00:00,0
4,14,1,2046-07-01 00:00:00,0
5,1,1,2029-07-01 00:00:00,8
6,1,1,2030-07-01 00:00:00,5
7,19,1,2031-07-01 00:00:00,6
8,17,1,2041-07-01 00:00:00,4
9,14,1,2024-07-01 00:00:00,9
10,14,1,2025-07-01 00:00:00,7
11,28,1,2032-07-01 00:00:00,13
12,19,1,2027-07-01 00:00:00,6
13,37,1,2036-07-01 00:00:00,1
14,21,1,2033-07-01 00:00:00,8
15,20,1,2039-07-01 00:00:00,6
16,1,1,2029-07-01 00:00:00,8
17,1,1,2034-07-01 00:00:00,4
18,17,1,2027-07-01 00:00:00,5
19,26,1,2034-07-01 00:00:00,7
20,54,1,2027-07-01 00:00:00,0
21,1,1,2039-07-01 00:00:00,2
22,24,1,2038-07-01 00:00:00,0
23,44,1,2042-07-01 00:00:00,0
24,6,1,2041-07-01 00:00:00,0
25,28,1,2038-07-01 00:00:00,5
26,11,1,2025-07-01 00:00:00,3
27,11,1,2026-07-01 00:00:00,1
28,52,1,2032-07-01 00:00:00,0
29,21,1,2032-07-01 00:00:00,10
30,26,1,2027-07-01 00:00:00,23
31,26,1,2029-07-01 00:00:00,10
32,2,1,2024-07-01 00:00:00,6
33,46,1,2027-07-01 00:00:00,0
34,52,1,2032-07-01 00:00:00,0
35,25,1,2035-07-01 00:00:00,3
36,21,1,2045-07-01 00:00:00,7
37,2,1,2042-07-01 00:00:00,5
38,2,1,2043-07-01 00:00:00,4
39,2,1,2044-07-01 00:00:00,3
40,2,1,2045-07-01 00:00:00,2
41,14,1,2044-07-01 00:00:00,3
42,28,1,2038-07-01 00:00:00,5
43,8,1,2027-07-01 00:00:00,0
44,26,1,2029-07-01 00:00:00,10
45,1,1,2024-07-01 00:00:00,13
46,25,2,2032-07-01 00:00:00,4
47,1,2,2026-07-01 00:00:00,10
48,18,2,2033-07-01 00:00:00,0
49,14,2,2046-07-01 00:00:00,0
50,1,2,2029-07-01 00:00:00,12
51,1,2,2032-07-01 00:00:00,8
52,19,2,2031-07-01 00:00:00,12
53,19,2,2037-07-01 00:00:00,13
54,14,2,2027-07-01 00:00:00,7
55,28,2,2032-07-01 00:00:00,13
56,19,2,2034-07-01 00:00:00,6
57,37,2,2036-07-01 00:00:00,1
58,20,2,2039-07-01 00:00:00,6
59,1,2,2034-07-01 00:00:00,4
60,17,2,2029-07-01 00:00:00,5
61,26,2,2034-07-01 00:00:00,3
62,23,2,2024-07-01 00:00:00,10
63,23,2,2029-07-01 00:00:00,11
64,23,2,2041-07-01 00:00:00,13
65,24,2,2038-07-01 00:00:00,0
66,1,2,2039-07-01 00:00:00,2
67,44,2,2042-07-01 00:00:00,0
68,11,2,2029-07-01 00:00:00,0
69,21,2,2033-07-01 00:00:00,10
70,26,2,2029-07-01 00:00:00,5
71,2,2,2024-07-01 00:00:00,6
72,46,2,2029-07-01 00:00:00,0
73,52,2,2038-07-01 00:00:00,3
74,52,2,2039-07-01 00:00:00,8
75,25,2,2035-07-01 00:00:00,2
76,2,2,2041-07-01 00:00:00,2
77,14,2,2029-07-01 00:00:00,6
78,14,2,2042-07-01 00:00:00,3
79,26,2,2029-07-01 00:00:00,5
80,12,2,2036-07-01 00:00:00,0
81,8,2,2044-07-01 00:00:00,1
82,8,2,2045-07-01 00:00:00,0
83,1,2,2024-07-01 00:00:00,13
84,25,3,2032-07-01 00:00:00,4
85,1,3,2026-07-01 00:00:00,10
86,18,3,2033-07-01 00:00:00,0
87,1,3,2038-07-01 00:00:00,0
88,14,3,2031-07-01 00:00:00,0
89,1,3,2032-07-01 00:00:00,4
90,1,3,2038-07-01 00:00:00,0
91,19,3,2031-07-01 00:00:00,12
92,14,3,2024-07-01 00:00:00,9
93,14,3,2025-07-01 00:00:00,7
94,28,3,2032-07-01 00:00:00,13
95,28,3,2035-07-01 00:00:00,16
96,28,3,2038-07-01 00:00:00,24
97,28,3,2041-07-01 00:00:00,25
98,19,3,2034-07-01 00:00:00,6
99,37,3,2036-07-01 00:00:00,1
100,21,3,2044-07-01 00:00:00,7
101,20,3,2039-07-01 00:00:00,6
102,1,3,2028-07-01 00:00:00,10
103,1,3,2029-07-01 00:00:00,7
104,17,3,2029-07-01 00:00:00,5
105,26,3,2034-07-01 00:00:00,3
106,24,3,2038-07-01 00:00:00,0
107,1,3,2027-07-01 00:00:00,12
108,1,3,2028-07-01 00:00:00,10
109,54,3,2044-07-01 00:00:00,0
110,6,3,2027-07-01 00:00:00,0
111,11,3,2025-07-01 00:00:00,2
112,11,3,2026-07-01 00:00:00,0
113,21,3,2033-07-01 00:00:00,10
114,26,3,2029-07-01 00:00:00,5
115,2,3,2024-07-01 00:00:00,6
116,46,3,2029-07-01 00:00:00,0
117,52,3,2044-07-01 00:00:00,1
118,25,3,2035-07-01 00:00:00,2
119,2,3,2031-07-01 00:00:00,4
120,2,3,2032-07-01 00:00:00,2
121,14,3,2027-07-01 00:00:00,6
122,14,3,2028-07-01 00:00:00,4
123,14,3,2029-07-01 00:00:00,3
124,26,3,2029-07-01 00:00:00,5
125,12,3,2027-07-01 00:00:00,0
126,8,3,2039-07-01 00:00:00,1
127,8,3,2041-07-01 00:00:00,0
128,1,3,2024-07-01 00:00:00,13
129,25,4,2032-07-01 00:00:00,4
130,1,4,2025-07-01 00:00:00,12
131,18,4,2033-07-01 00:00:00,0
132,1,4,2028-07-01 00:00:00,3
133,14,4,2029-07-01 00:00:00,0
134,1,4,2025-07-01 00:00:00,12
135,1,4,2026-07-01 00:00:00,7
136,19,4,2031-07-01 00:00:00,6
137,19,4,2037-07-01 00:00:00,13
138,14,4,2024-07-01 00:00:00,7
139,28,4,2032-07-01 00:00:00,13
140,19,4,2024-07-01 00:00:00,6
141,37,4,2036-07-01 00:00:00,1
142,21,4,2033-07-01 00:00:00,13
143,20,4,2039-07-01 00:00:00,6
144,1,4,2026-07-01 00:00:00,7
145,1,4,2027-07-01 00:00:00,4
146,17,4,2024-07-01 00:00:00,5
147,26,4,2034-07-01 00:00:00,3
148,54,4,2024-07-01 00:00:00,0
149,1,4,2029-07-01 00:00:00,0
150,24,4,2038-07-01 00:00:00,0
151,6,4,2024-07-01 00:00:00,0
152,11,4,2024-07-01 00:00:00,0
153,21,4,2033-07-01 00:00:00,13
154,26,4,2029-07-01 00:00:00,5
155,2,4,2024-07-01 00:00:00,6
156,46,4,2024-07-01 00:00:00,0
157,52,4,2027-07-01 00:00:00,6
158,25,4,2035-07-01 00:00:00,2
159,2,4,2025-07-01 00:00:00,4
160,2,4,2026-07-01 00:00:00,2
161,14,4,2025-07-01 00:00:00,6
162,14,4,2026-07-01 00:00:00,4
163,14,4,2027-07-01 00:00:00,3
164,26,4,2029-07-01 00:00:00,5
165,12,4,2024-07-01 00:00:00,0
166,8,4,2029-07-01 00:00:00,0
167,1,4,2024-07-01 00:00:00,13
168,5,1,2029-07-01 00:00:00,1
169,5,1,2034-07-01 00:00:00,0
170,5,2,2034-07-01 00:00:00,0
171,5,3,2028-07-01 00:00:00,5
172,5,3,2029-07-01 00:00:00,0
173,5,4,2026-07-01 00:00:00,4
174,5,4,2027-07-01 00:00:00,0
