id,name,alias,tech,type,capacity,active,investment,junction_id,ch_eff,dch_eff,vini,vmin,vmax,fcmin,fcmax,fdmin,fdmax,longitude,latitude,n
1,HSS_EX_CNQ,HSS_EX_CNQ,TANK,EXPORT,1,0,0,1,0.98,0.98,0,0,7945285.585,0,33281.92,0,18362.44,150.527562,-24.401793,1
2,HSS_EX_GG,HSS_EX_GG,TANK,EXPORT,1,0,0,3,0.98,0.98,0,0,7945285.585,0,33281.92,0,18362.44,151.248803,-23.842948,1
3,HSS_EX_SQ,HSS_EX_SQ,TANK,EXPORT,1,0,0,5,0.98,0.98,0,0,7945285.585,0,33281.92,0,18362.44,153.029934,-27.476625,1
4,HSS_EX_NNSW,HSS_EX_NNSW,DUMMY,DUMMY,1,1,0,7,1,1,0,0,0,0,1000000000000,0,1000000000000,151.652465,-30.504711,1
5,HSS_EX_CNSW,HSS_EX_CNSW,DUMMY,DUMMY,1,1,0,9,1,1,0,0,0,0,1000000000000,0,1000000000000,150.157717,-33.4833,1
6,HSS_EX_SNW,HSS_EX_SNW,DUMMY,DUMMY,1,1,0,11,1,1,0,0,0,0,1000000000000,0,1000000000000,151.209444,-33.865,1
7,HSS_EX_SNSW,HSS_EX_SNSW,DUMMY,DUMMY,1,1,0,13,1,1,0,0,0,0,1000000000000,0,1000000000000,147.359907,-35.11098,1
8,HSS_EX_VIC,HSS_EX_VIC,DUMMY,DUMMY,1,1,0,15,1,1,0,0,0,0,1000000000000,0,1000000000000,144.943397,-37.766053,1
9,HSS_EX_TAS,HSS_EX_TAS,DUMMY,DUMMY,1,1,0,17,1,1,0,0,0,0,1000000000000,0,1000000000000,147.325,-42.880556,1
10,HSS_EX_SA,HSS_EX_SA,DUMMY,DUMMY,1,1,0,19,1,1,0,0,0,0,1000000000000,0,1000000000000,138.601,-34.929,1
11,HSS_DOM_CNQ,HSS_DOM_CNQ,DUMMY,DUMMY,1,1,0,2,1,1,0,0,0,0,1000000000000,0,1000000000000,150.527562,-24.401793,1
12,HSS_DOM_GG,HSS_DOM_GG,DUMMY,DUMMY,1,1,0,4,1,1,0,0,0,0,1000000000000,0,1000000000000,151.248803,-23.842948,1
13,HSS_DOM_SQ,HSS_DOM_SQ,DUMMY,DUMMY,1,1,0,6,1,1,0,0,0,0,1000000000000,0,1000000000000,153.029934,-27.476625,1
14,HSS_DOM_NNSW,HSS_DOM_NNSW,DUMMY,DUMMY,1,1,0,8,1,1,0,0,0,0,1000000000000,0,1000000000000,151.652465,-30.504711,1
15,HSS_DOM_CNSW,HSS_DOM_CNSW,DUMMY,DUMMY,1,1,0,10,1,1,0,0,0,0,1000000000000,0,1000000000000,150.157717,-33.4833,1
16,HSS_DOM_SNW,HSS_DOM_SNW,DUMMY,DUMMY,1,1,0,12,1,1,0,0,0,0,1000000000000,0,1000000000000,151.209444,-33.865,1
17,HSS_DOM_SNSW,HSS_DOM_SNSW,DUMMY,DUMMY,1,1,0,14,1,1,0,0,0,0,1000000000000,0,1000000000000,147.359907,-35.11098,1
18,HSS_DOM_VIC,HSS_DOM_VIC,DUMMY,DUMMY,1,1,0,16,1,1,0,0,0,0,1000000000000,0,1000000000000,144.943397,-37.766053,1
19,HSS_DOM_TAS,HSS_DOM_TAS,DUMMY,DUMMY,1,1,0,18,1,1,0,0,0,0,1000000000000,0,1000000000000,147.325,-42.880556,1
20,HSS_DOM_SA,HSS_DOM_SA,DUMMY,DUMMY,1,1,0,20,1,1,0,0,0,0,1000000000000,0,1000000000000,138.601,-34.929,1
21,HSS_EX_CNQ_2,HSS_EX_CNQ,DUMMY,DUMMY,1,1,0,1,1,1,0,0,0,0,1000000000000,0,1000000000000,150.527562,-24.401793,1
22,HSS_EX_GG_2,HSS_EX_GG,DUMMY,DUMMY,1,1,0,3,1,1,0,0,0,0,1000000000000,0,1000000000000,151.248803,-23.842948,1
23,HSS_EX_SQ_2,HSS_EX_SQ,DUMMY,DUMMY,1,1,0,5,1,1,0,0,0,0,1000000000000,0,1000000000000,153.029934,-27.476625,1
