id,name,node_id,ctr_id,freq_id,scenario,weight,problem_type,dstart,dend,tstep
1,init22_1_N1,1,1,0,3,17.33,UC,2022-09-12 00:00:00,2022-09-18 23:00:00,60
2,init22_1_N2,1,1,0,3,17.33,UC,2022-08-29 00:00:00,2022-09-04 23:00:00,60
3,init22_1_N3,1,1,0,3,17.33,UC,2022-05-02 00:00:00,2022-05-08 23:00:00,60
4,init22_1_N4,1,1,0,3,0.0001,UC,2022-01-31 00:00:00,2022-02-06 23:00:00,60
5,slow27_2_N1,2,1,0,1,49.86,UC,2027-05-02 00:00:00,2027-05-08 23:00:00,60
6,slow27_2_M1,2,1,0,1,1.02,UC,2027-07-18 00:00:00,2027-07-24 23:00:00,60
7,slow27_2_M2,2,1,0,1,1.02,UC,2027-10-17 00:00:00,2027-10-23 23:00:00,60
8,slow27_2_HI,2,1,0,1,0.1,UC,2027-01-10 00:00:00,2027-01-16 23:00:00,60
9,prog27_3_N1,3,1,0,2,25,UC,2027-07-04 00:00:00,2027-07-10 23:00:00,60
10,prog27_3_N2,3,1,0,2,25,UC,2027-02-21 00:00:00,2027-02-27 23:00:00,60
11,prog27_3_M1,3,1,0,2,1,UC,2027-06-06 00:00:00,2027-06-12 23:00:00,60
12,prog27_3_M2,3,1,0,2,1,UC,2027-08-08 00:00:00,2027-08-14 23:00:00,60
13,step27_4_N1,4,1,0,3,49.86,UC,2027-09-12 00:00:00,2027-09-18 23:00:00,60
14,step27_4_M1,4,1,0,3,1.02,UC,2027-05-16 00:00:00,2027-05-22 23:00:00,60
15,step27_4_M2,4,1,0,3,1.02,UC,2027-03-14 00:00:00,2027-03-20 23:00:00,60
16,step27_4_HI,4,1,0,3,0.1,UC,2027-11-28 00:00:00,2027-12-04 23:00:00,60
17,hygn27_5_N1,5,1,0,4,25,UC,2027-09-19 00:00:00,2027-09-25 23:00:00,60
18,hygn27_5_N2,5,1,0,4,25,UC,2027-02-28 00:00:00,2027-03-06 23:00:00,60
19,hygn27_5_M1,5,1,0,4,1,UC,2027-03-14 00:00:00,2027-03-20 23:00:00,60
20,hygn27_5_M2,5,1,0,4,1,UC,2027-07-04 00:00:00,2027-07-10 23:00:00,60
21,slow32_6_N1,6,1,0,1,25,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
22,slow32_6_N2,6,1,0,1,25,UC,2032-01-17 00:00:00,2032-01-23 23:00:00,60
23,slow32_6_M1,6,1,0,1,1,UC,2032-07-24 00:00:00,2032-07-30 23:00:00,60
24,slow32_6_M2,6,1,0,1,1,UC,2032-11-27 00:00:00,2032-12-03 23:00:00,60
25,prog32_7_N1,7,1,0,2,50,UC,2032-06-19 00:00:00,2032-06-25 23:00:00,60
26,prog32_7_M1,7,1,0,2,1,UC,2032-10-09 00:00:00,2032-10-15 23:00:00,60
27,prog32_7_M2,7,1,0,2,1,UC,2032-08-07 00:00:00,2032-08-13 23:00:00,60
28,step32_8_N1,8,1,0,3,50,UC,2032-12-04 00:00:00,2032-12-10 23:00:00,60
29,step32_8_M1,8,1,0,3,1,UC,2032-03-27 00:00:00,2032-04-02 23:00:00,60
30,step32_8_M2,8,1,0,3,1,UC,2032-05-15 00:00:00,2032-05-21 23:00:00,60
31,prog32_9_N1,9,1,0,2,49.86,UC,2032-08-07 00:00:00,2032-08-13 23:00:00,60
