id,name,node_id,problem_id,scenario,scene,active,dstart,dend
1,MAINTENANCE_LINES VIC->SNSW,2,6,1,5,1,2027-07-18 00:00:00,2027-07-24 23:00:00
2,MAINTENANCE_LINES VIC->SNSW,3,11,2,5,1,2027-06-06 00:00:00,2027-06-12 23:00:00
3,MAINTENANCE_LINES VIC->SNSW,4,14,3,5,1,2027-05-16 00:00:00,2027-05-22 23:00:00
4,MAINTENANCE_LINES VIC->SNSW,5,19,4,5,1,2027-03-14 00:00:00,2027-03-20 23:00:00
5,MAINTENANCE_LINES VIC->SNSW,6,23,1,5,1,2032-07-24 00:00:00,2032-07-30 23:00:00
6,MAINTENANCE_LINES VIC->SNSW,7,26,2,5,1,2032-10-09 00:00:00,2032-10-15 23:00:00
7,MAINTENANCE_LINES VIC->SNSW,8,29,3,5,1,2032-03-27 00:00:00,2032-04-02 23:00:00
8,MAINTENANCE_LINES VIC->SNSW,9,32,2,5,1,2032-10-09 00:00:00,2032-10-15 23:00:00
9,MAINTENANCE_LINES VIC->SNSW,10,36,3,5,1,2032-03-27 00:00:00,2032-04-02 23:00:00
10,MAINTENANCE_LINES VIC->SNSW,11,40,4,5,1,2032-09-18 00:00:00,2032-09-24 23:00:00
11,MAINTENANCE_LINES VIC->SNSW,12,45,3,5,1,2032-03-27 00:00:00,2032-04-02 23:00:00
12,MAINTENANCE_LINES VIC->SNSW,13,49,4,5,1,2032-09-18 00:00:00,2032-09-24 23:00:00
13,MAINTENANCE_LINES VIC->SNSW,14,52,4,5,1,2032-09-18 00:00:00,2032-09-24 23:00:00
14,MAINTENANCE_LINES VIC->SNSW,15,56,1,5,1,2037-10-24 00:00:00,2037-10-30 23:00:00
15,MAINTENANCE_LINES VIC->SNSW,16,60,2,5,1,2037-04-11 00:00:00,2037-04-17 23:00:00
16,MAINTENANCE_LINES VIC->SNSW,17,63,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
17,MAINTENANCE_LINES VIC->SNSW,18,66,2,5,1,2037-04-11 00:00:00,2037-04-17 23:00:00
18,MAINTENANCE_LINES VIC->SNSW,19,70,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
19,MAINTENANCE_LINES VIC->SNSW,20,73,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
20,MAINTENANCE_LINES VIC->SNSW,21,77,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
21,MAINTENANCE_LINES VIC->SNSW,22,82,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
22,MAINTENANCE_LINES VIC->SNSW,23,86,2,5,1,2037-04-11 00:00:00,2037-04-17 23:00:00
23,MAINTENANCE_LINES VIC->SNSW,24,89,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
24,MAINTENANCE_LINES VIC->SNSW,25,93,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
25,MAINTENANCE_LINES VIC->SNSW,26,96,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
26,MAINTENANCE_LINES VIC->SNSW,27,100,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
27,MAINTENANCE_LINES VIC->SNSW,28,104,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
28,MAINTENANCE_LINES VIC->SNSW,29,107,3,5,1,2037-03-21 00:00:00,2037-03-27 23:00:00
29,MAINTENANCE_LINES VIC->SNSW,30,110,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
30,MAINTENANCE_LINES VIC->SNSW,31,114,4,5,1,2037-06-20 00:00:00,2037-06-26 23:00:00
31,MAINTENANCE_LINES VIC->SNSW,32,119,4,5,1,2037-09-05 00:00:00,2037-09-11 23:00:00
32,MAINTENANCE_LINES VIC->SA,2,7,1,6,1,2027-10-17 00:00:00,2027-10-23 23:00:00
33,MAINTENANCE_LINES VIC->SA,3,12,2,6,1,2027-08-08 00:00:00,2027-08-14 23:00:00
34,MAINTENANCE_LINES VIC->SA,4,15,3,6,1,2027-03-14 00:00:00,2027-03-20 23:00:00
35,MAINTENANCE_LINES VIC->SA,5,20,4,6,1,2027-07-04 00:00:00,2027-07-10 23:00:00
36,MAINTENANCE_LINES VIC->SA,6,24,1,6,1,2032-11-27 00:00:00,2032-12-03 23:00:00
37,MAINTENANCE_LINES VIC->SA,7,27,2,6,1,2032-08-07 00:00:00,2032-08-13 23:00:00
38,MAINTENANCE_LINES VIC->SA,8,30,3,6,1,2032-05-15 00:00:00,2032-05-21 23:00:00
39,MAINTENANCE_LINES VIC->SA,9,33,2,6,1,2032-06-19 00:00:00,2032-06-25 23:00:00
40,MAINTENANCE_LINES VIC->SA,10,37,3,6,1,2032-05-15 00:00:00,2032-05-21 23:00:00
41,MAINTENANCE_LINES VIC->SA,11,41,4,6,1,2032-05-22 00:00:00,2032-05-28 23:00:00
42,MAINTENANCE_LINES VIC->SA,12,46,3,6,1,2032-05-15 00:00:00,2032-05-21 23:00:00
43,MAINTENANCE_LINES VIC->SA,13,50,4,6,1,2032-05-22 00:00:00,2032-05-28 23:00:00
44,MAINTENANCE_LINES VIC->SA,14,53,4,6,1,2032-05-22 00:00:00,2032-05-28 23:00:00
45,MAINTENANCE_LINES VIC->SA,15,57,1,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
46,MAINTENANCE_LINES VIC->SA,16,61,2,6,1,2037-08-22 00:00:00,2037-08-28 23:00:00
47,MAINTENANCE_LINES VIC->SA,17,64,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
48,MAINTENANCE_LINES VIC->SA,18,67,2,6,1,2037-08-22 00:00:00,2037-08-28 23:00:00
49,MAINTENANCE_LINES VIC->SA,19,71,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
50,MAINTENANCE_LINES VIC->SA,20,74,4,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
51,MAINTENANCE_LINES VIC->SA,21,78,3,6,1,2037-08-15 00:00:00,2037-08-21 23:00:00
