id,name,load_,bus_id,active,controllable,voll,contingency
1,DEM_CNQ,100,1,1,0,15000,1
2,DEM_GG,100,2,1,0,15000,1
3,DEM_SQ,100,3,1,0,15000,1
4,DEM_NNSW,100,4,1,0,15000,1
5,DEM_CNSW,100,5,1,0,15000,1
6,DEM_SNW,100,6,1,0,15000,1
7,DEM_SNSW,100,7,1,0,15000,1
8,DEM_VIC,100,8,1,0,15000,1
9,DEM_TAS,100,9,1,0,15000,1
10,DEM_SA,100,10,1,0,15000,1
11,DSP_CNQ,0,1,1,1,15000,1
12,DSP_GG,0,2,1,1,15000,1
13,DSP_SQ,0,3,1,1,15000,1
14,DSP_NNSW,0,4,1,1,15000,1
15,DSP_CNSW,0,5,1,1,15000,1
16,DSP_SNW,0,6,1,1,15000,1
17,DSP_SNSW,0,7,1,1,15000,1
18,DSP_VIC,0,8,1,1,15000,1
19,DSP_TAS,0,9,1,1,15000,1
20,DSP_SA,0,10,1,1,15000,1
