id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,co2,slope,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
1,Coal_SQ_1,Coal_SQ_1,Coal,Coal,Coal,505.62,0.76,5,178.75,505.62,4.88,4.62,0,1,28.05,915.41,0.3,50.56,0,4,0,1,1,0,0.85,-32.3953,150.9491,16,1
2,Coal_CNQ_1,Coal_CNQ_1,Coal,Coal,Coal,375,0.86,1,153.75,375,4,4,0,1,25.26,894.42,0.3,37.5,0,4,0,1,1,0,0.85,-24.3449,150.6197,8,1
5,Gladstone,GSTONE1,Coal,Black Coal,Steam Sub Critical,280,0.8559044673819243,2,110,280,5,5,0,1,29.519994582801313,952.4867715541751,0.3,28,0,4,0,1,1,0,0.85,-23.8508,151.2187,6,1
6,Kogan Creek,KPP_1,Coal,Black Coal,Steam Super Critical,744,0.8559044673819243,3,330,744,8,8,0,1,16.595214956879552,840.7027765485525,0.3,74.4,0,4,0,1,1,0,0.85,-26.9177,150.7493,1,1
8,Millmerran,MPP_1,Coal,Black Coal,Steam Super Critical,426,0.8559044673819243,3,200,426,5,5,0,1,16.031789841091708,829.6309603899305,0.3,42.6,0,4,0,1,1,0,0.85,-27.9615,151.2789,2,1
11,Tarong,TARONG#1,Coal,Black Coal,Steam Sub Critical,350,0.8559044673819243,3,140,350,4,4,0,1,28.97251542663836,880.0741347775011,0.3,35,0,4,0,1,1,0,0.85,-26.7858,151.9172,4,1
12,Tarong North,TNPS1,Coal,Black Coal,Steam Super Critical,450,0.8559044673819243,3,180,450,4,4,0,1,27.496921781296003,880.0741347775011,0.3,45,0,4,0,1,1,0,0.85,-26.7758,151.9146,1,1
14,Coal_VIC_1,Coal_VIC_1,Coal,Coal,Coal,482,0.88,8,264,482,5.2,5.2,0,1,12.83,1189.7,0.3,48.2,0,4,0,1,1,0,0.85,-38.2536,146.5746,10,1
17,OCGT_VIC_1,OCGT_VIC_1,Natural Gas,OCGT,OCGT,212.86,0.94,8,60.96,212.86,3,3,0,1,132.4,560.55,0.6,21.29,0,4,0,1,1,0,0.85,-37.8429,147.5639,7,1
18,Barcaldine Power Station,BARCALDN,Natural Gas,OCGT,OCGT,37,0.930166285409347,1,12.21,37,9999,9999,0,1,126.05815743144865,3192.6910299003325,0.6,3.7,0,4,0,1,1,0,0.85,-23.55245,145.314186,1,1
