id,gen_id,scenario,date,value
1,1,1,2026-07-01 00:00:00,10
2,14,1,2024-07-01 00:00:00,9
3,14,1,2025-07-01 00:00:00,7
4,19,1,2027-07-01 00:00:00,6
5,17,1,2027-07-01 00:00:00,5
6,54,1,2027-07-01 00:00:00,0
7,11,1,2025-07-01 00:00:00,3
8,11,1,2026-07-01 00:00:00,1
9,26,1,2027-07-01 00:00:00,23
10,2,1,2024-07-01 00:00:00,6
11,46,1,2027-07-01 00:00:00,0
12,8,1,2027-07-01 00:00:00,0
13,1,1,2024-07-01 00:00:00,13
14,1,1,2026-07-01 00:00:00,10
15,14,1,2024-07-01 00:00:00,9
16,14,1,2025-07-01 00:00:00,7
17,11,1,2025-07-01 00:00:00,3
18,11,1,2026-07-01 00:00:00,1
19,2,1,2024-07-01 00:00:00,6
20,1,1,2024-07-01 00:00:00,13
21,1,1,2026-07-01 00:00:00,10
22,14,1,2024-07-01 00:00:00,9
23,14,1,2025-07-01 00:00:00,7
24,19,1,2027-07-01 00:00:00,6
25,17,1,2027-07-01 00:00:00,5
26,54,1,2027-07-01 00:00:00,0
27,11,1,2025-07-01 00:00:00,3
28,11,1,2026-07-01 00:00:00,1
29,26,1,2027-07-01 00:00:00,23
30,2,1,2024-07-01 00:00:00,6
31,46,1,2027-07-01 00:00:00,0
32,8,1,2027-07-01 00:00:00,0
33,1,1,2024-07-01 00:00:00,13
34,1,1,2026-07-01 00:00:00,10
35,14,1,2024-07-01 00:00:00,9
36,14,1,2025-07-01 00:00:00,7
37,19,1,2027-07-01 00:00:00,6
38,17,1,2027-07-01 00:00:00,5
39,54,1,2027-07-01 00:00:00,0
40,11,1,2025-07-01 00:00:00,3
41,11,1,2026-07-01 00:00:00,1
42,26,1,2027-07-01 00:00:00,23
43,2,1,2024-07-01 00:00:00,6
44,46,1,2027-07-01 00:00:00,0
45,8,1,2027-07-01 00:00:00,0
46,1,1,2024-07-01 00:00:00,13
47,1,2,2026-07-01 00:00:00,10
48,14,2,2027-07-01 00:00:00,7
49,23,2,2024-07-01 00:00:00,10
50,2,2,2024-07-01 00:00:00,6
51,1,2,2024-07-01 00:00:00,13
52,1,2,2026-07-01 00:00:00,10
53,23,2,2024-07-01 00:00:00,10
54,2,2,2024-07-01 00:00:00,6
55,1,2,2024-07-01 00:00:00,13
56,1,2,2026-07-01 00:00:00,10
57,14,2,2027-07-01 00:00:00,7
58,23,2,2024-07-01 00:00:00,10
59,2,2,2024-07-01 00:00:00,6
60,1,2,2024-07-01 00:00:00,13
61,1,2,2026-07-01 00:00:00,10
62,23,2,2024-07-01 00:00:00,10
63,2,2,2024-07-01 00:00:00,6
64,1,2,2024-07-01 00:00:00,13
65,1,3,2026-07-01 00:00:00,10
66,14,3,2024-07-01 00:00:00,9
67,14,3,2025-07-01 00:00:00,7
68,1,3,2027-07-01 00:00:00,12
69,6,3,2027-07-01 00:00:00,0
70,11,3,2025-07-01 00:00:00,2
71,11,3,2026-07-01 00:00:00,0
72,2,3,2024-07-01 00:00:00,6
73,14,3,2027-07-01 00:00:00,6
74,12,3,2027-07-01 00:00:00,0
75,1,3,2024-07-01 00:00:00,13
76,1,3,2026-07-01 00:00:00,10
77,14,3,2024-07-01 00:00:00,9
78,14,3,2025-07-01 00:00:00,7
79,11,3,2025-07-01 00:00:00,2
80,11,3,2026-07-01 00:00:00,0
81,2,3,2024-07-01 00:00:00,6
82,1,3,2024-07-01 00:00:00,13
83,1,3,2026-07-01 00:00:00,10
84,14,3,2024-07-01 00:00:00,9
85,14,3,2025-07-01 00:00:00,7
86,1,3,2027-07-01 00:00:00,12
87,6,3,2027-07-01 00:00:00,0
88,11,3,2025-07-01 00:00:00,2
89,11,3,2026-07-01 00:00:00,0
90,2,3,2024-07-01 00:00:00,6
91,14,3,2027-07-01 00:00:00,6
92,12,3,2027-07-01 00:00:00,0
93,1,3,2024-07-01 00:00:00,13
94,1,3,2026-07-01 00:00:00,10
95,14,3,2024-07-01 00:00:00,9
96,14,3,2025-07-01 00:00:00,7
97,11,3,2025-07-01 00:00:00,2
98,11,3,2026-07-01 00:00:00,0
99,2,3,2024-07-01 00:00:00,6
100,1,3,2024-07-01 00:00:00,13
101,1,4,2025-07-01 00:00:00,12
102,1,4,2026-07-01 00:00:00,7
103,14,4,2024-07-01 00:00:00,7
104,19,4,2024-07-01 00:00:00,6
105,1,4,2027-07-01 00:00:00,4
106,17,4,2024-07-01 00:00:00,5
107,54,4,2024-07-01 00:00:00,0
108,6,4,2024-07-01 00:00:00,0
109,11,4,2024-07-01 00:00:00,0
110,2,4,2024-07-01 00:00:00,6
111,46,4,2024-07-01 00:00:00,0
112,52,4,2027-07-01 00:00:00,6
113,2,4,2025-07-01 00:00:00,4
114,2,4,2026-07-01 00:00:00,2
115,14,4,2025-07-01 00:00:00,6
116,14,4,2026-07-01 00:00:00,4
117,14,4,2027-07-01 00:00:00,3
118,12,4,2024-07-01 00:00:00,0
119,1,4,2024-07-01 00:00:00,13
120,5,4,2026-07-01 00:00:00,4
121,5,4,2027-07-01 00:00:00,0
122,1,4,2025-07-01 00:00:00,12
123,1,4,2026-07-01 00:00:00,7
124,14,4,2024-07-01 00:00:00,7
125,19,4,2024-07-01 00:00:00,6
126,17,4,2024-07-01 00:00:00,5
127,54,4,2024-07-01 00:00:00,0
128,6,4,2024-07-01 00:00:00,0
129,11,4,2024-07-01 00:00:00,0
130,2,4,2024-07-01 00:00:00,6
131,46,4,2024-07-01 00:00:00,0
132,2,4,2025-07-01 00:00:00,4
133,2,4,2026-07-01 00:00:00,2
134,14,4,2025-07-01 00:00:00,6
135,14,4,2026-07-01 00:00:00,4
136,12,4,2024-07-01 00:00:00,0
137,1,4,2024-07-01 00:00:00,13
138,5,4,2026-07-01 00:00:00,4
139,1,4,2025-07-01 00:00:00,12
140,1,4,2026-07-01 00:00:00,7
141,14,4,2024-07-01 00:00:00,7
142,19,4,2024-07-01 00:00:00,6
143,17,4,2024-07-01 00:00:00,5
144,54,4,2024-07-01 00:00:00,0
145,6,4,2024-07-01 00:00:00,0
146,11,4,2024-07-01 00:00:00,0
147,2,4,2024-07-01 00:00:00,6
148,46,4,2024-07-01 00:00:00,0
149,2,4,2025-07-01 00:00:00,4
150,2,4,2026-07-01 00:00:00,2
151,14,4,2025-07-01 00:00:00,6
152,14,4,2026-07-01 00:00:00,4
153,12,4,2024-07-01 00:00:00,0
154,1,4,2024-07-01 00:00:00,13
155,5,4,2026-07-01 00:00:00,4
156,1,4,2025-07-01 00:00:00,12
157,1,4,2026-07-01 00:00:00,7
158,14,4,2024-07-01 00:00:00,7
159,19,4,2024-07-01 00:00:00,6
160,17,4,2024-07-01 00:00:00,5
161,54,4,2024-07-01 00:00:00,0
162,6,4,2024-07-01 00:00:00,0
163,11,4,2024-07-01 00:00:00,0
164,2,4,2024-07-01 00:00:00,6
165,46,4,2024-07-01 00:00:00,0
166,2,4,2025-07-01 00:00:00,4
167,2,4,2026-07-01 00:00:00,2
168,14,4,2025-07-01 00:00:00,6
169,14,4,2026-07-01 00:00:00,4
170,12,4,2024-07-01 00:00:00,0
171,1,4,2024-07-01 00:00:00,13
172,5,4,2026-07-01 00:00:00,4
173,1,1,2026-07-01 00:00:00,10
174,1,1,2029-07-01 00:00:00,8
175,1,1,2030-07-01 00:00:00,5
176,19,1,2031-07-01 00:00:00,6
177,14,1,2024-07-01 00:00:00,9
178,14,1,2025-07-01 00:00:00,7
179,19,1,2027-07-01 00:00:00,6
180,17,1,2027-07-01 00:00:00,5
181,54,1,2027-07-01 00:00:00,0
182,11,1,2025-07-01 00:00:00,3
183,11,1,2026-07-01 00:00:00,1
184,26,1,2027-07-01 00:00:00,23
185,26,1,2029-07-01 00:00:00,10
186,2,1,2024-07-01 00:00:00,6
187,46,1,2027-07-01 00:00:00,0
188,8,1,2027-07-01 00:00:00,0
189,1,1,2024-07-01 00:00:00,13
190,5,1,2029-07-01 00:00:00,1
191,1,1,2026-07-01 00:00:00,10
192,1,1,2029-07-01 00:00:00,8
193,1,1,2030-07-01 00:00:00,5
194,19,1,2031-07-01 00:00:00,6
195,14,1,2024-07-01 00:00:00,9
196,14,1,2025-07-01 00:00:00,7
197,19,1,2027-07-01 00:00:00,6
198,17,1,2027-07-01 00:00:00,5
199,54,1,2027-07-01 00:00:00,0
200,11,1,2025-07-01 00:00:00,3
201,11,1,2026-07-01 00:00:00,1
202,26,1,2027-07-01 00:00:00,23
203,26,1,2029-07-01 00:00:00,10
204,2,1,2024-07-01 00:00:00,6
205,46,1,2027-07-01 00:00:00,0
206,8,1,2027-07-01 00:00:00,0
207,1,1,2024-07-01 00:00:00,13
208,5,1,2029-07-01 00:00:00,1
209,1,1,2026-07-01 00:00:00,10
210,1,1,2029-07-01 00:00:00,8
211,1,1,2030-07-01 00:00:00,5
212,19,1,2031-07-01 00:00:00,6
213,14,1,2024-07-01 00:00:00,9
214,14,1,2025-07-01 00:00:00,7
215,28,1,2032-07-01 00:00:00,13
216,19,1,2027-07-01 00:00:00,6
217,17,1,2027-07-01 00:00:00,5
218,54,1,2027-07-01 00:00:00,0
219,11,1,2025-07-01 00:00:00,3
220,11,1,2026-07-01 00:00:00,1
221,52,1,2032-07-01 00:00:00,0
222,21,1,2032-07-01 00:00:00,10
223,26,1,2027-07-01 00:00:00,23
224,26,1,2029-07-01 00:00:00,10
225,2,1,2024-07-01 00:00:00,6
226,46,1,2027-07-01 00:00:00,0
227,8,1,2027-07-01 00:00:00,0
228,1,1,2024-07-01 00:00:00,13
229,5,1,2029-07-01 00:00:00,1
230,1,1,2026-07-01 00:00:00,10
231,1,1,2029-07-01 00:00:00,8
232,1,1,2030-07-01 00:00:00,5
233,19,1,2031-07-01 00:00:00,6
234,14,1,2024-07-01 00:00:00,9
235,14,1,2025-07-01 00:00:00,7
236,28,1,2032-07-01 00:00:00,13
237,19,1,2027-07-01 00:00:00,6
238,17,1,2027-07-01 00:00:00,5
239,54,1,2027-07-01 00:00:00,0
240,11,1,2025-07-01 00:00:00,3
241,11,1,2026-07-01 00:00:00,1
242,52,1,2032-07-01 00:00:00,0
243,21,1,2032-07-01 00:00:00,10
244,26,1,2027-07-01 00:00:00,23
245,26,1,2029-07-01 00:00:00,10
246,2,1,2024-07-01 00:00:00,6
247,46,1,2027-07-01 00:00:00,0
248,8,1,2027-07-01 00:00:00,0
249,1,1,2024-07-01 00:00:00,13
250,5,1,2029-07-01 00:00:00,1
251,25,2,2032-07-01 00:00:00,4
252,1,2,2026-07-01 00:00:00,10
253,1,2,2029-07-01 00:00:00,12
254,1,2,2032-07-01 00:00:00,8
255,19,2,2031-07-01 00:00:00,12
256,14,2,2027-07-01 00:00:00,7
257,28,2,2032-07-01 00:00:00,13
258,17,2,2029-07-01 00:00:00,5
259,23,2,2024-07-01 00:00:00,10
260,23,2,2029-07-01 00:00:00,11
261,11,2,2029-07-01 00:00:00,0
262,26,2,2029-07-01 00:00:00,5
263,2,2,2024-07-01 00:00:00,6
264,46,2,2029-07-01 00:00:00,0
265,14,2,2029-07-01 00:00:00,6
266,1,2,2024-07-01 00:00:00,13
267,25,2,2032-07-01 00:00:00,4
268,1,2,2026-07-01 00:00:00,10
269,1,2,2029-07-01 00:00:00,12
270,1,2,2032-07-01 00:00:00,8
271,19,2,2031-07-01 00:00:00,12
272,14,2,2027-07-01 00:00:00,7
273,28,2,2032-07-01 00:00:00,13
274,17,2,2029-07-01 00:00:00,5
275,23,2,2024-07-01 00:00:00,10
276,23,2,2029-07-01 00:00:00,11
277,11,2,2029-07-01 00:00:00,0
278,26,2,2029-07-01 00:00:00,5
279,2,2,2024-07-01 00:00:00,6
280,46,2,2029-07-01 00:00:00,0
281,14,2,2029-07-01 00:00:00,6
282,1,2,2024-07-01 00:00:00,13
283,25,2,2032-07-01 00:00:00,4
284,1,2,2026-07-01 00:00:00,10
285,1,2,2029-07-01 00:00:00,12
286,1,2,2032-07-01 00:00:00,8
287,19,2,2031-07-01 00:00:00,12
288,14,2,2027-07-01 00:00:00,7
289,28,2,2032-07-01 00:00:00,13
290,17,2,2029-07-01 00:00:00,5
291,23,2,2024-07-01 00:00:00,10
292,23,2,2029-07-01 00:00:00,11
293,11,2,2029-07-01 00:00:00,0
294,26,2,2029-07-01 00:00:00,5
295,2,2,2024-07-01 00:00:00,6
296,46,2,2029-07-01 00:00:00,0
297,14,2,2029-07-01 00:00:00,6
298,1,2,2024-07-01 00:00:00,13
299,1,2,2026-07-01 00:00:00,10
300,1,2,2029-07-01 00:00:00,12
301,19,2,2031-07-01 00:00:00,12
302,14,2,2027-07-01 00:00:00,7
303,17,2,2029-07-01 00:00:00,5
304,23,2,2024-07-01 00:00:00,10
305,23,2,2029-07-01 00:00:00,11
306,11,2,2029-07-01 00:00:00,0
307,26,2,2029-07-01 00:00:00,5
308,2,2,2024-07-01 00:00:00,6
309,46,2,2029-07-01 00:00:00,0
310,14,2,2029-07-01 00:00:00,6
311,1,2,2024-07-01 00:00:00,13
312,1,3,2026-07-01 00:00:00,10
313,14,3,2031-07-01 00:00:00,0
314,19,3,2031-07-01 00:00:00,12
315,14,3,2024-07-01 00:00:00,9
316,14,3,2025-07-01 00:00:00,7
317,1,3,2028-07-01 00:00:00,10
318,1,3,2029-07-01 00:00:00,7
319,17,3,2029-07-01 00:00:00,5
320,1,3,2027-07-01 00:00:00,12
321,6,3,2027-07-01 00:00:00,0
322,11,3,2025-07-01 00:00:00,2
323,11,3,2026-07-01 00:00:00,0
324,26,3,2029-07-01 00:00:00,5
325,2,3,2024-07-01 00:00:00,6
326,46,3,2029-07-01 00:00:00,0
