id,lin_id,scenario,date,value
1,1,3,2022-08-08 00:00:00,1050
2,1,3,2022-09-12 00:00:00,1050
3,1,3,2022-08-29 00:00:00,1050
4,1,3,2022-05-02 00:00:00,1050
5,1,3,2022-11-14 00:00:00,700
6,1,3,2022-10-24 00:00:00,700
7,1,1,2027-11-14 00:00:00,700
8,1,1,2027-04-04 00:00:00,1050
9,1,1,2027-07-18 00:00:00,1050
10,1,1,2027-10-17 00:00:00,700
11,1,1,2027-10-17 00:00:00,700
12,1,1,2027-05-02 00:00:00,1050
13,1,2,2027-07-04 00:00:00,1050
14,1,2,2027-06-06 00:00:00,1050
15,1,2,2027-08-08 00:00:00,1050
16,1,2,2027-06-06 00:00:00,1050
17,1,2,2027-02-28 00:00:00,700
18,1,2,2027-02-21 00:00:00,700
19,1,3,2027-09-12 00:00:00,1050
20,1,3,2027-05-16 00:00:00,1050
21,1,3,2027-11-14 00:00:00,700
22,1,3,2027-03-14 00:00:00,700
23,1,3,2027-06-06 00:00:00,1050
24,1,3,2027-11-28 00:00:00,700
25,1,4,2027-09-19 00:00:00,1050
26,1,4,2027-02-28 00:00:00,700
27,1,4,2027-02-07 00:00:00,700
28,1,4,2027-03-14 00:00:00,700
29,1,4,2027-02-21 00:00:00,700
30,1,4,2027-07-04 00:00:00,1050
31,1,1,2032-03-06 00:00:00,700
32,1,1,2032-03-20 00:00:00,700
33,1,1,2032-07-24 00:00:00,1050
34,1,1,2032-11-27 00:00:00,700
35,1,1,2032-03-27 00:00:00,700
36,1,1,2032-04-01 00:00:00,1050
37,1,1,2032-01-17 00:00:00,700
38,1,2,2032-10-09 00:00:00,700
39,1,2,2032-08-07 00:00:00,1050
40,1,2,2032-09-11 00:00:00,1050
41,1,2,2032-06-19 00:00:00,1050
42,1,2,2032-09-25 00:00:00,1050
43,1,2,2032-10-01 00:00:00,700
44,1,2,2032-06-12 00:00:00,1050
45,1,3,2032-03-27 00:00:00,700
46,1,3,2032-04-01 00:00:00,1050
47,1,3,2032-07-17 00:00:00,1050
48,1,3,2032-10-09 00:00:00,700
49,1,3,2032-05-15 00:00:00,1050
50,1,3,2032-08-28 00:00:00,1050
51,1,3,2032-12-04 00:00:00,700
52,1,2,2032-10-09 00:00:00,700
53,1,2,2032-08-07 00:00:00,1050
54,1,2,2032-09-11 00:00:00,1050
55,1,2,2032-06-19 00:00:00,1050
56,1,2,2032-09-25 00:00:00,1050
57,1,2,2032-10-01 00:00:00,700
58,1,2,2032-06-12 00:00:00,1050
59,1,3,2032-03-27 00:00:00,700
60,1,3,2032-04-01 00:00:00,1050
61,1,3,2032-07-17 00:00:00,1050
62,1,3,2032-10-09 00:00:00,700
63,1,3,2032-05-15 00:00:00,1050
64,1,3,2032-08-28 00:00:00,1050
65,1,3,2032-12-04 00:00:00,700
66,1,4,2032-02-14 00:00:00,700
67,1,4,2032-11-27 00:00:00,700
68,1,4,2032-09-18 00:00:00,1050
69,1,4,2032-11-27 00:00:00,700
70,1,4,2032-05-22 00:00:00,1050
71,1,4,2032-02-28 00:00:00,700
72,1,3,2032-03-27 00:00:00,700
73,1,3,2032-04-01 00:00:00,1050
74,1,3,2032-07-17 00:00:00,1050
75,1,3,2032-10-09 00:00:00,700
76,1,3,2032-05-15 00:00:00,1050
77,1,3,2032-08-28 00:00:00,1050
78,1,3,2032-12-04 00:00:00,700
79,1,4,2032-02-14 00:00:00,700
80,1,4,2032-11-27 00:00:00,700
81,1,4,2032-09-18 00:00:00,1050
82,1,4,2032-11-27 00:00:00,700
83,1,4,2032-05-22 00:00:00,1050
84,1,4,2032-02-28 00:00:00,700
85,1,4,2032-02-14 00:00:00,700
86,1,4,2032-11-27 00:00:00,700
87,1,4,2032-09-18 00:00:00,1050
88,1,4,2032-11-27 00:00:00,700
89,1,4,2032-05-22 00:00:00,1050
90,1,4,2032-02-28 00:00:00,700
91,1,1,2037-09-26 00:00:00,1050
92,1,1,2037-10-01 00:00:00,700
93,1,1,2037-10-24 00:00:00,700
94,1,1,2037-12-19 00:00:00,700
95,1,1,2037-09-26 00:00:00,1050
96,1,1,2037-10-01 00:00:00,700
97,1,1,2037-08-15 00:00:00,1050
98,1,1,2037-01-10 00:00:00,700
99,1,2,2037-01-31 00:00:00,700
100,1,2,2037-09-26 00:00:00,1050
101,1,2,2037-10-01 00:00:00,700
102,1,2,2037-10-10 00:00:00,700
103,1,2,2037-06-13 00:00:00,1050
104,1,2,2037-04-11 00:00:00,1050
105,1,2,2037-08-22 00:00:00,1050
106,1,3,2037-03-21 00:00:00,700
107,1,3,2037-12-12 00:00:00,700
108,1,3,2037-11-21 00:00:00,700
109,1,3,2037-11-28 00:00:00,700
110,1,3,2037-12-19 00:00:00,700
111,1,3,2037-08-15 00:00:00,1050
112,1,2,2037-01-31 00:00:00,700
113,1,2,2037-09-26 00:00:00,1050
114,1,2,2037-10-01 00:00:00,700
115,1,2,2037-10-10 00:00:00,700
116,1,2,2037-06-13 00:00:00,1050
117,1,2,2037-04-11 00:00:00,1050
118,1,2,2037-08-22 00:00:00,1050
119,1,3,2037-03-21 00:00:00,700
120,1,3,2037-12-12 00:00:00,700
121,1,3,2037-11-21 00:00:00,700
122,1,3,2037-11-28 00:00:00,700
123,1,3,2037-12-19 00:00:00,700
124,1,3,2037-08-15 00:00:00,1050
125,1,4,2037-06-20 00:00:00,1050
126,1,4,2037-07-11 00:00:00,1050
127,1,4,2037-01-24 00:00:00,700
128,1,4,2037-09-05 00:00:00,1050
129,1,4,2037-08-15 00:00:00,1050
130,1,4,2037-12-05 00:00:00,700
131,1,3,2037-03-21 00:00:00,700
132,1,3,2037-12-12 00:00:00,700
133,1,3,2037-11-21 00:00:00,700
134,1,3,2037-11-28 00:00:00,700
135,1,3,2037-12-19 00:00:00,700
136,1,3,2037-08-15 00:00:00,1050
137,1,4,2037-06-20 00:00:00,1050
138,1,4,2037-07-11 00:00:00,1050
139,1,4,2037-01-24 00:00:00,700
140,1,4,2037-09-05 00:00:00,1050
141,1,4,2037-08-15 00:00:00,1050
142,1,4,2037-12-05 00:00:00,700
143,1,2,2037-01-31 00:00:00,700
144,1,2,2037-09-26 00:00:00,1050
145,1,2,2037-10-01 00:00:00,700
146,1,2,2037-10-10 00:00:00,700
147,1,2,2037-06-13 00:00:00,1050
148,1,2,2037-04-11 00:00:00,1050
149,1,2,2037-08-22 00:00:00,1050
150,1,3,2037-03-21 00:00:00,700
151,1,3,2037-12-12 00:00:00,700
152,1,3,2037-11-21 00:00:00,700
153,1,3,2037-11-28 00:00:00,700
154,1,3,2037-12-19 00:00:00,700
155,1,3,2037-08-15 00:00:00,1050
156,1,4,2037-06-20 00:00:00,1050
157,1,4,2037-07-11 00:00:00,1050
158,1,4,2037-01-24 00:00:00,700
159,1,4,2037-09-05 00:00:00,1050
160,1,4,2037-08-15 00:00:00,1050
161,1,4,2037-12-05 00:00:00,700
162,1,3,2037-03-21 00:00:00,700
163,1,3,2037-12-12 00:00:00,700
164,1,3,2037-11-21 00:00:00,700
165,1,3,2037-11-28 00:00:00,700
166,1,3,2037-12-19 00:00:00,700
167,1,3,2037-08-15 00:00:00,1050
168,1,4,2037-06-20 00:00:00,1050
169,1,4,2037-07-11 00:00:00,1050
170,1,4,2037-01-24 00:00:00,700
171,1,4,2037-09-05 00:00:00,1050
172,1,4,2037-08-15 00:00:00,1050
173,1,4,2037-12-05 00:00:00,700
174,1,4,2037-06-20 00:00:00,1050
175,1,4,2037-07-11 00:00:00,1050
176,1,4,2037-01-24 00:00:00,700
177,1,4,2037-09-05 00:00:00,1050
178,1,4,2037-08-15 00:00:00,1050
179,1,4,2037-12-05 00:00:00,700
180,1,3,2037-03-21 00:00:00,700
181,1,3,2037-12-12 00:00:00,700
182,1,3,2037-11-21 00:00:00,700
183,1,3,2037-11-28 00:00:00,700
184,1,3,2037-12-19 00:00:00,700
185,1,3,2037-08-15 00:00:00,1050
186,1,4,2037-06-20 00:00:00,1050
187,1,4,2037-07-11 00:00:00,1050
188,1,4,2037-01-24 00:00:00,700
189,1,4,2037-09-05 00:00:00,1050
190,1,4,2037-08-15 00:00:00,1050
191,1,4,2037-12-05 00:00:00,700
192,1,4,2037-06-20 00:00:00,1050
193,1,4,2037-07-11 00:00:00,1050
194,1,4,2037-01-24 00:00:00,700
195,1,4,2037-09-05 00:00:00,1050
196,1,4,2037-08-15 00:00:00,1050
197,1,4,2037-12-05 00:00:00,700
198,1,4,2037-06-20 00:00:00,1050
199,1,4,2037-07-11 00:00:00,1050
200,1,4,2037-01-24 00:00:00,700
201,1,4,2037-09-05 00:00:00,1050
202,1,4,2037-08-15 00:00:00,1050
203,1,4,2037-12-05 00:00:00,700
204,2,3,2022-08-08 00:00:00,1000
205,2,3,2022-09-12 00:00:00,1000
206,2,3,2022-08-29 00:00:00,1000
207,2,3,2022-05-02 00:00:00,1000
208,2,3,2022-11-14 00:00:00,700
209,2,3,2022-10-24 00:00:00,700
210,2,1,2027-11-14 00:00:00,700
211,2,1,2027-04-04 00:00:00,1000
212,2,1,2027-07-18 00:00:00,1000
213,2,1,2027-10-17 00:00:00,700
214,2,1,2027-10-17 00:00:00,700
215,2,1,2027-05-02 00:00:00,1000
216,2,2,2027-07-04 00:00:00,1000
217,2,2,2027-06-06 00:00:00,1000
218,2,2,2027-08-08 00:00:00,1000
219,2,2,2027-06-06 00:00:00,1000
220,2,2,2027-02-28 00:00:00,700
221,2,2,2027-02-21 00:00:00,700
222,2,3,2027-09-12 00:00:00,1000
223,2,3,2027-05-16 00:00:00,1000
224,2,3,2027-11-14 00:00:00,700
225,2,3,2027-03-14 00:00:00,700
226,2,3,2027-06-06 00:00:00,1000
227,2,3,2027-11-28 00:00:00,700
228,2,4,2027-09-19 00:00:00,1000
229,2,4,2027-02-28 00:00:00,700
230,2,4,2027-02-07 00:00:00,700
231,2,4,2027-03-14 00:00:00,700
232,2,4,2027-02-21 00:00:00,700
233,2,4,2027-07-04 00:00:00,1000
234,2,1,2032-03-06 00:00:00,700
235,2,1,2032-03-20 00:00:00,700
236,2,1,2032-07-24 00:00:00,1000
237,2,1,2032-11-27 00:00:00,700
238,2,1,2032-03-27 00:00:00,700
239,2,1,2032-04-01 00:00:00,1000
240,2,1,2032-01-17 00:00:00,700
241,2,2,2032-10-09 00:00:00,700
242,2,2,2032-08-07 00:00:00,1000
243,2,2,2032-09-11 00:00:00,1000
244,2,2,2032-06-19 00:00:00,1000
245,2,2,2032-09-25 00:00:00,1000
246,2,2,2032-10-01 00:00:00,700
247,2,2,2032-06-12 00:00:00,1000
248,2,3,2032-03-27 00:00:00,700
249,2,3,2032-04-01 00:00:00,1000
250,2,3,2032-07-17 00:00:00,1000
251,2,3,2032-10-09 00:00:00,700
252,2,3,2032-05-15 00:00:00,1000
253,2,3,2032-08-28 00:00:00,1000
254,2,3,2032-12-04 00:00:00,700
255,2,2,2032-10-09 00:00:00,700
256,2,2,2032-08-07 00:00:00,1000
257,2,2,2032-09-11 00:00:00,1000
258,2,2,2032-06-19 00:00:00,1000
259,2,2,2032-09-25 00:00:00,1000
260,2,2,2032-10-01 00:00:00,700
261,2,2,2032-06-12 00:00:00,1000
262,2,3,2032-03-27 00:00:00,700
263,2,3,2032-04-01 00:00:00,1000
264,2,3,2032-07-17 00:00:00,1000
265,2,3,2032-10-09 00:00:00,700
266,2,3,2032-05-15 00:00:00,1000
267,2,3,2032-08-28 00:00:00,1000
268,2,3,2032-12-04 00:00:00,700
269,2,4,2032-02-14 00:00:00,700
270,2,4,2032-11-27 00:00:00,700
271,2,4,2032-09-18 00:00:00,1000
272,2,4,2032-11-27 00:00:00,700
273,2,4,2032-05-22 00:00:00,1000
274,2,4,2032-02-28 00:00:00,700
275,2,3,2032-03-27 00:00:00,700
276,2,3,2032-04-01 00:00:00,1000
277,2,3,2032-07-17 00:00:00,1000
278,2,3,2032-10-09 00:00:00,700
279,2,3,2032-05-15 00:00:00,1000
280,2,3,2032-08-28 00:00:00,1000
281,2,3,2032-12-04 00:00:00,700
282,2,4,2032-02-14 00:00:00,700
283,2,4,2032-11-27 00:00:00,700
284,2,4,2032-09-18 00:00:00,1000
285,2,4,2032-11-27 00:00:00,700
286,2,4,2032-05-22 00:00:00,1000
287,2,4,2032-02-28 00:00:00,700
288,2,4,2032-02-14 00:00:00,700
289,2,4,2032-11-27 00:00:00,700
290,2,4,2032-09-18 00:00:00,1000
291,2,4,2032-11-27 00:00:00,700
292,2,4,2032-05-22 00:00:00,1000
293,2,4,2032-02-28 00:00:00,700
294,2,1,2037-09-26 00:00:00,1000
295,2,1,2037-10-01 00:00:00,700
296,2,1,2037-10-24 00:00:00,700
297,2,1,2037-12-19 00:00:00,700
298,2,1,2037-09-26 00:00:00,1000
299,2,1,2037-10-01 00:00:00,700
300,2,1,2037-08-15 00:00:00,1000
301,2,1,2037-01-10 00:00:00,700
302,2,2,2037-01-31 00:00:00,700
303,2,2,2037-09-26 00:00:00,1000
304,2,2,2037-10-01 00:00:00,700
305,2,2,2037-10-10 00:00:00,700
306,2,2,2037-06-13 00:00:00,1000
307,2,2,2037-04-11 00:00:00,1000
308,2,2,2037-08-22 00:00:00,1000
309,2,3,2037-03-21 00:00:00,700
310,2,3,2037-12-12 00:00:00,700
311,2,3,2037-11-21 00:00:00,700
