id_gen,name,fuel,tech,investment,active,id_bus,capacity,forate,pmin,pmax,rup,rdw,cvar,co2,slope,pfrmax,inertia,ffr,pfr,res2,res3,powerfactor,n,contingency
1,RPV CRE,RoofPV,CER,0,1,2,67.435,1,0,67.435,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
2,RPV LYD,RoofPV,CER,0,1,3,30.003,1,0,30.003,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
3,RPV BWN,RoofPV,CER,0,1,4,40.221,1,0,40.221,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
4,RPV NRN,RoofPV,CER,0,1,5,28.908,1,0,28.908,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
5,RPV OFR,RoofPV,CER,0,1,6,65.653,1,0,65.653,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
6,RPV CLN,RoofPV,CER,0,1,7,96.935,1,0,96.935,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
7,RPV PHM,RoofPV,CER,0,1,8,64.753,1,0,64.753,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
8,RPV LLG,RoofPV,CER,0,1,10,22.008,1,0,22.008,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
9,SVC 2,SVC,SVC,1,1,2,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
10,SVC 3,SVC,SVC,1,1,3,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
11,SVC 4,SVC,SVC,1,1,4,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
12,SVC 5,SVC,SVC,1,1,5,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
13,SVC 6,SVC,SVC,1,1,6,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
14,SVC 7,SVC,SVC,1,1,7,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
15,SVC 8,SVC,SVC,1,1,8,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
16,SVC 9,SVC,SVC,1,1,9,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
17,SVC 10,SVC,SVC,1,1,10,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
