id_ess,name,tech,capacity,investment,active,id_bus,ch_eff,dch_eff,cvar,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_fr,n,contingency
1,VPP CRE,CER,11.838,1,1,2,0.922,0.922,0,20,20,26.0436,0,11.838,0,11.838,0,0.95,1,1,0,0,0,100,0,1
2,VPP LYD,CER,5.267,1,1,3,0.922,0.922,0,20,20,11.587400000000002,0,5.267,0,5.267,0,0.95,1,1,0,0,0,100,0,1
3,VPP BWN,CER,7.061,1,1,4,0.922,0.922,0,20,20,15.534200000000002,0,7.061,0,7.061,0,0.95,1,1,0,0,0,100,0,1
4,VPP NRN,CER,5.075,1,1,5,0.922,0.922,0,20,20,11.165000000000001,0,5.075,0,5.075,0,0.95,1,1,0,0,0,100,0,1
5,VPP OFR,CER,11.525,1,1,6,0.922,0.922,0,20,20,25.355000000000004,0,11.525,0,11.525,0,0.95,1,1,0,0,0,100,0,1
6,VPP CLN,CER,17.017,1,1,7,0.922,0.922,0,20,20,37.437400000000004,0,17.017,0,17.017,0,0.95,1,1,0,0,0,100,0,1
7,VPP PHM,CER,11.367,1,1,8,0.922,0.922,0,20,20,25.007400000000004,0,11.367,0,11.367,0,0.95,1,1,0,0,0,100,0,1
8,VPP LLG,CER,3.863,1,1,10,0.922,0.922,0,20,20,8.498600000000001,0,3.863,0,3.863,0,0.95,1,1,0,0,0,100,0,1
9,2hBESS CRE,DER,5,1,1,2,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
10,2hBESS LYD,DER,5,1,1,3,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
11,2hBESS BWN,DER,5,1,1,4,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
12,2hBESS NRN,DER,5,1,1,5,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
13,2hBESS OFR,DER,5,1,1,6,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
14,2hBESS CLN,DER,5,1,1,7,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
15,2hBESS PHM,DER,5,1,1,8,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
16,2hBESS PSHTEE,DER,5,1,1,9,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
17,2hBESS LLG,DER,5,1,1,10,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
18,4hBESS CRE,DER,5,1,0,2,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
19,4hBESS LYD,DER,5,1,0,3,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
20,4hBESS BWN,DER,5,1,0,4,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
21,4hBESS NRN,DER,5,1,0,5,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
22,4hBESS OFR,DER,5,1,0,6,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
23,4hBESS CLN,DER,5,1,0,7,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
24,4hBESS PHM,DER,5,1,0,8,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
25,4hBESS PSHTEE,DER,5,1,0,9,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
26,4hBESS LLG,DER,5,1,0,10,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
