id_gen,name,fuel,tech,investment,active,id_bus,capacity,forate,pmin,pmax,rup,rdw,cvar,co2,slope,pfrmax,inertia,ffr,pfr,res2,res3,powerfactor,n,contingency
1,RPV CRE,RoofPV,CER,0,1,2,82.385,1,0,82.385,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
2,RPV LYD,RoofPV,CER,0,1,3,36.654,1,0,36.654,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
3,RPV BWN,RoofPV,CER,0,1,4,49.138,1,0,49.138,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
4,RPV NRN,RoofPV,CER,0,1,5,35.317,1,0,35.317,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
5,RPV OFR,RoofPV,CER,0,1,6,80.207,1,0,80.207,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
6,RPV CLN,RoofPV,CER,0,1,7,118.424,1,0,118.424,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
7,RPV PHM,RoofPV,CER,0,1,8,79.108,1,0,79.108,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
8,RPV LLG,RoofPV,CER,0,1,10,26.887,1,0,26.887,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
9,SVC 2,SVC,SVC,1,1,2,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
10,SVC 3,SVC,SVC,1,1,3,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
11,SVC 4,SVC,SVC,1,1,4,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
12,SVC 5,SVC,SVC,1,1,5,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
13,SVC 6,SVC,SVC,1,1,6,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
14,SVC 7,SVC,SVC,1,1,7,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
15,SVC 8,SVC,SVC,1,1,8,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
16,SVC 9,SVC,SVC,1,1,9,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
17,SVC 10,SVC,SVC,1,1,10,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
