id_dr,name,tech,id_dem,active,investment,capacity,n,shift,pshup_max,pshdn_max,esh_max,esh_min,rec_sh,cost_sh,reduct,pred_max,cost_red,ramp,ramp_up,ramp_dn
1,DSP_CSA_B1,DSP,1,1,1,2.7046,0,0,0,0,0,0,0,0,1,2.7046,300,0,0,0
2,DSP_CSA_B2,DSP,1,1,1,1.5262,0,0,0,0,0,0,0,0,1,1.5262,500,0,0,0
3,DSP_CSA_B3,DSP,1,1,1,0.384,0,0,0,0,0,0,0,0,1,0.384,1000,0,0,0
4,DSP_CSA_B4,DSP,1,1,1,0.5225,0,0,0,0,0,0,0,0,1,0.5225,7500,0,0,0
5,DSP_CSA_B1,DSP,2,1,1,1.2033,0,0,0,0,0,0,0,0,1,1.2033,300,0,0,0
6,DSP_CSA_B2,DSP,2,1,1,0.679,0,0,0,0,0,0,0,0,1,0.679,500,0,0,0
7,DSP_CSA_B3,DSP,2,1,1,0.1708,0,0,0,0,0,0,0,0,1,0.1708,1000,0,0,0
8,DSP_CSA_B4,DSP,2,1,1,0.2325,0,0,0,0,0,0,0,0,1,0.2325,7500,0,0,0
9,DSP_CSA_B1,DSP,3,1,1,1.6131,0,0,0,0,0,0,0,0,1,1.6131,300,0,0,0
10,DSP_CSA_B2,DSP,3,1,1,0.9103,0,0,0,0,0,0,0,0,1,0.9103,500,0,0,0
11,DSP_CSA_B3,DSP,3,1,1,0.229,0,0,0,0,0,0,0,0,1,0.229,1000,0,0,0
12,DSP_CSA_B4,DSP,3,1,1,0.3116,0,0,0,0,0,0,0,0,1,0.3116,7500,0,0,0
13,DSP_CSA_B1,DSP,4,1,1,1.1594,0,0,0,0,0,0,0,0,1,1.1594,300,0,0,0
14,DSP_CSA_B2,DSP,4,1,1,0.6543,0,0,0,0,0,0,0,0,1,0.6543,500,0,0,0
15,DSP_CSA_B3,DSP,4,1,1,0.1646,0,0,0,0,0,0,0,0,1,0.1646,1000,0,0,0
16,DSP_CSA_B4,DSP,4,1,1,0.224,0,0,0,0,0,0,0,0,1,0.224,7500,0,0,0
17,DSP_CSA_B1,DSP,5,1,1,2.6331,0,0,0,0,0,0,0,0,1,2.6331,300,0,0,0
18,DSP_CSA_B2,DSP,5,1,1,1.4859,0,0,0,0,0,0,0,0,1,1.4859,500,0,0,0
19,DSP_CSA_B3,DSP,5,1,1,0.3738,0,0,0,0,0,0,0,0,1,0.3738,1000,0,0,0
20,DSP_CSA_B4,DSP,5,1,1,0.5087,0,0,0,0,0,0,0,0,1,0.5087,7500,0,0,0
21,DSP_CSA_B1,DSP,6,1,1,3.8878,0,0,0,0,0,0,0,0,1,3.8878,300,0,0,0
22,DSP_CSA_B2,DSP,6,1,1,2.1939,0,0,0,0,0,0,0,0,1,2.1939,500,0,0,0
23,DSP_CSA_B3,DSP,6,1,1,0.5519,0,0,0,0,0,0,0,0,1,0.5519,1000,0,0,0
24,DSP_CSA_B4,DSP,6,1,1,0.7511,0,0,0,0,0,0,0,0,1,0.7511,7500,0,0,0
25,DSP_CSA_B1,DSP,7,1,1,2.597,0,0,0,0,0,0,0,0,1,2.597,300,0,0,0
26,DSP_CSA_B2,DSP,7,1,1,1.4655,0,0,0,0,0,0,0,0,1,1.4655,500,0,0,0
27,DSP_CSA_B3,DSP,7,1,1,0.3687,0,0,0,0,0,0,0,0,1,0.3687,1000,0,0,0
28,DSP_CSA_B4,DSP,7,1,1,0.5017,0,0,0,0,0,0,0,0,1,0.5017,7500,0,0,0
29,DSP_CSA_B1,DSP,8,1,1,0.8827,0,0,0,0,0,0,0,0,1,0.8827,300,0,0,0
30,DSP_CSA_B2,DSP,8,1,1,0.4981,0,0,0,0,0,0,0,0,1,0.4981,500,0,0,0
31,DSP_CSA_B3,DSP,8,1,1,0.1253,0,0,0,0,0,0,0,0,1,0.1253,1000,0,0,0
32,DSP_CSA_B4,DSP,8,1,1,0.1705,0,0,0,0,0,0,0,0,1,0.1705,7500,0,0,0
