id_lin,name,tech,capacity,bus_a_id,bus_b_id,investment,active,r,x,tmin,tmax,sbase,voltage,segments,length,n,contingency
1,CBTS-BWN,AC,77.8,1,4,0,1,0.0399,0.1533,77.8,77.8,100,66,1,18.6,1,1
2,CBTS-CLN,AC,117.2,1,7,0,1,0.0121,0.0512,117.2,117.2,100,66,1,6.91,1,1
3,CBTS-CLN,AC,117.2,1,7,0,1,0.0121,0.0512,117.2,117.2,100,66,1,6.91,1,1
4,CBTS-LYD,AC,94.3,1,3,0,1,0.0235,0.0996,94.3,94.3,100,66,1,12.2,1,1
5,CBTS-CRE,AC,67.5,1,2,0,1,0.0013,0.0048,67.5,67.5,100,66,1,0.64,1,1
6,CBTS-CRE,AC,67.5,1,2,0,1,0.0012,0.0045,67.5,67.5,100,66,1,0.6,1,1
7,PHM-NRN,AC,77.8,8,5,0,1,0.0435,0.1505,77.8,77.8,100,66,1,18.5,1,1
8,PHM-PSHTEE,AC,117.2,8,9,0,1,0.0097,0.0431,117.2,117.2,100,66,1,5.51,1,1
9,PHM-OFR,AC,77.8,8,6,0,1,0.0194,0.0617,77.8,77.8,100,66,1,7.43,1,1
10,NRN-LYD,AC,77.8,5,3,0,1,0.0123,0.0412,77.8,77.8,100,66,1,4.93,1,1
11,BWN-OFR,AC,77.8,4,6,0,1,0.0268,0.0853,77.8,77.8,100,66,1,9.84,1,1
12,CLN-PSHTEE,AC,117.2,7,9,0,1,0.0243,0.1067,117.2,117.2,100,66,1,13.87,1,1
13,PSHTEE-LLG,AC,117.2,9,10,0,1,0.0454,0.1961,117.2,117.2,100,66,1,24.89,1,1
14,CBTS-BWN,AC,77.8,1,4,1,1,0.0399,0.1533,77.8,77.8,100,66,1,18.6,1,1
15,CBTS-CLN,AC,117.2,1,7,1,1,0.0121,0.0512,117.2,117.2,100,66,1,6.91,1,1
16,CBTS-CLN,AC,117.2,1,7,1,1,0.0121,0.0512,117.2,117.2,100,66,1,6.91,1,1
17,CBTS-LYD,AC,94.3,1,3,1,1,0.0235,0.0996,94.3,94.3,100,66,1,12.2,1,1
18,CBTS-CRE,AC,67.5,1,2,1,1,0.0013,0.0048,67.5,67.5,100,66,1,0.64,1,1
19,CBTS-CRE,AC,67.5,1,2,1,1,0.0012,0.0045,67.5,67.5,100,66,1,0.6,1,1
20,PHM-NRN,AC,77.8,8,5,1,1,0.0435,0.1505,77.8,77.8,100,66,1,18.5,1,1
21,PHM-PSHTEE,AC,117.2,8,9,1,1,0.0097,0.0431,117.2,117.2,100,66,1,5.51,1,1
22,PHM-OFR,AC,77.8,8,6,1,1,0.0194,0.0617,77.8,77.8,100,66,1,7.43,1,1
23,NRN-LYD,AC,77.8,5,3,1,1,0.0123,0.0412,77.8,77.8,100,66,1,4.93,1,1
24,BWN-OFR,AC,77.8,4,6,1,1,0.0268,0.0853,77.8,77.8,100,66,1,9.84,1,1
25,CLN-PSHTEE,AC,117.2,7,9,1,1,0.0243,0.1067,117.2,117.2,100,66,1,13.87,1,1
26,PSHTEE-LLG,AC,117.2,9,10,1,1,0.0454,0.1961,117.2,117.2,100,66,1,24.89,1,1
