id,name,load_,bus_id,active,controllable,voll,contingency
1,DEM_NQ,100,1,0,0,17500,1
2,DEM_CQ,100,2,0,0,17500,1
3,DEM_GG,100,3,1,0,17500,1
4,DEM_SQ,100,4,0,0,17500,1
5,DEM_NNSW,100,5,0,0,17500,1
6,DEM_CNSW,100,6,0,0,17500,1
7,DEM_SNW,100,7,0,0,17500,1
8,DEM_SNSW,100,8,0,0,17500,1
9,DEM_VIC,100,9,0,0,17500,1
10,DEM_TAS,100,10,0,0,17500,1
11,DEM_CSA,100,11,0,0,17500,1
12,DEM_SESA,100,12,1,0,17500,1
13,DSP_NQ,0,1,0,1,17500,1
14,DSP_CQ,0,2,0,1,17500,1
15,DSP_GG,0,3,0,1,17500,1
16,DSP_SQ,0,4,0,1,17500,1
17,DSP_NNSW,0,5,0,1,17500,1
18,DSP_CNSW,0,6,0,1,17500,1
19,DSP_SNW,0,7,0,1,17500,1
20,DSP_SNSW,0,8,0,1,17500,1
21,DSP_VIC,0,9,0,1,17500,1
22,DSP_TAS,0,10,0,1,17500,1
23,DSP_CSA,0,11,0,1,17500,1
24,DSP_SESA,0,12,0,1,17500,1
