id,name,alias,tech,type,capacity,investment,active,bus_id,ch_eff,dch_eff,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_ad,fr_dt,fr_frt,fr_fr,longitude,latitude,n,contingency
1,ESS_SHALLOW_NQ,ESS_SHALLOW_NQ,BESS,SHALLOW,0,0,1,1,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,145.5635,-17.79385,1,0
2,ESS_MEDIUM_NQ,ESS_MEDIUM_NQ,BESS,MEDIUM,250,0,1,1,0.916515,0.916515,20,20,2000,0,250,0,250,0,1,1,0,1,0,0,0.3,0.05,1000,70,145.5635,-17.79385,1,0
3,ESS_SHALLOW_CQ,ESS_SHALLOW_CQ,BESS,SHALLOW,0,0,1,2,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,149.40361,-22.8242,1,0
4,ESS_MEDIUM_CQ,ESS_MEDIUM_CQ,BESS,MEDIUM,0,0,1,2,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,149.40361,-22.8242,1,0
5,ESS_DEEP_CQ,ESS_DEEP_CQ,PS,DEEP,0,0,1,2,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,149.40361,-22.8242,1,0
6,ESS_SHALLOW_GG,ESS_SHALLOW_GG,BESS,SHALLOW,0,0,1,3,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.248803,-23.842948,1,0
7,ESS_MEDIUM_GG,ESS_MEDIUM_GG,BESS,MEDIUM,0,0,1,3,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.248803,-23.842948,1,0
8,ESS_SHALLOW_SQ,ESS_SHALLOW_SQ,BESS,SHALLOW,154.96,0,1,4,0.916515,0.916515,20,20,309.92,0,154.96,0,154.96,0,1,1,0,1,0,0,0.3,0.05,1000,70,153.029934,-27.476625,1,0
9,ESS_MEDIUM_SQ,ESS_MEDIUM_SQ,BESS,MEDIUM,570,0,1,4,0.916515,0.916515,20,20,5700,0,570,0,570,0,1,1,0,1,0,0,0.3,0.05,1000,70,153.029934,-27.476625,1,0
10,ESS_BORUMBA_SQ,ESS_BORUMBA_SQ,PS,DEEP,0,0,1,4,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,153.029934,-27.476625,1,0
11,ESS_SHALLOW_NNSW,ESS_SHALLOW_NNSW,BESS,SHALLOW,0,0,1,5,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.652465,-30.504711,1,0
12,ESS_MEDIUM_NNSW,ESS_MEDIUM_NNSW,BESS,MEDIUM,0,0,1,5,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.652465,-30.504711,1,0
13,ESS_DEEP_NNSW,ESS_DEEP_NNSW,PS,DEEP,0,0,1,5,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,151.652465,-30.504711,1,0
14,ESS_SHALLOW_CNSW,ESS_SHALLOW_CNSW,BESS,SHALLOW,0,0,1,6,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,150.157717,-33.4833,1,0
15,ESS_MEDIUM_CNSW,ESS_MEDIUM_CNSW,BESS,MEDIUM,0,0,1,6,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,150.157717,-33.4833,1,0
16,ESS_DEEP_CNSW,ESS_DEEP_CNSW,PS,DEEP,247,0,1,6,0.8718,0.8718,20,20,6271.000000000001,0,247,0,247,2.2,0.85,0,1,1,0,0,0,0,0,70,150.157717,-33.4833,1,0
17,ESS_SHALLOW_SNW,ESS_SHALLOW_SNW,BESS,SHALLOW,50,0,1,7,0.916515,0.916515,20,20,75,0,50,0,50,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.209444,-33.865,1,0
18,ESS_MEDIUM_SNW,ESS_MEDIUM_SNW,BESS,MEDIUM,0,0,1,7,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,151.209444,-33.865,1,0
19,ESS_SHALLOW_SNSW,ESS_SHALLOW_SNSW,BESS,SHALLOW,0,0,1,8,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,147.359907,-35.11098,1,0
20,ESS_MEDIUM_SNSW,ESS_MEDIUM_SNSW,BESS,MEDIUM,0,0,1,8,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,147.359907,-35.11098,1,0
21,ESS_SNOWY2_SNSW,ESS_SNOWY2_SNSW,PS,DEEP,0,0,1,8,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,147.359907,-35.11098,1,0
22,ESS_SHALLOW_VIC,ESS_SHALLOW_VIC,BESS,SHALLOW,479.13,0,1,9,0.916515,0.916515,20,20,710.96,0,479.13,0,479.13,0,1,1,0,1,0,0,0.3,0.05,1000,70,144.943397,-37.766053,1,0
23,ESS_MEDIUM_VIC,ESS_MEDIUM_VIC,BESS,MEDIUM,0,0,1,9,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,144.943397,-37.766053,1,0
24,ESS_DEEP_VIC,ESS_DEEP_VIC,PS,DEEP,0,0,1,9,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,144.943397,-37.766053,1,0
25,ESS_MEDIUM_TAS,ESS_MEDIUM_TAS,BESS,MEDIUM,0,0,1,10,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,147.325,-42.880556,1,0
26,ESS_DEEP_TAS,ESS_DEEP_TAS,PS,DEEP,0,0,1,10,0.8718,0.8718,20,20,0,0,0,0,0,2.2,0.85,0,1,1,0,0,0,0,0,70,147.325,-42.880556,1,0
27,ESS_SHALLOW_CSA,ESS_SHALLOW_CSA,BESS,SHALLOW,150,0,1,11,0.916515,0.916515,20,20,180,0,150,0,150,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.52164,-34.80268,1,0
28,ESS_MEDIUM_CSA,ESS_MEDIUM_CSA,BESS,MEDIUM,0,0,1,11,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,138.52164,-34.80268,1,0
29,ESS_SHALLOW_SESA,ESS_SHALLOW_SESA,BESS,SHALLOW,0,0,1,12,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,140.8373,-37.6047,1,0
30,ESS_MEDIUM_SESA,ESS_MEDIUM_SESA,BESS,MEDIUM,0,0,1,12,0.916515,0.916515,20,20,0,0,0,0,0,0,1,1,0,1,0,0,0.3,0.05,1000,70,140.8373,-37.6047,1,0
31,VPP_CER_NQ,VPP_CER_NQ,BESS,SHALLOW,601.4864684199999,1,1,1,0.9,0.9,10,10,24.14782674,0,601.4864684199999,0,601.4864684199999,0,1,0,0,0,0,0,0,0,0,0,145.5635,-17.79385,1,0
32,VPP_CER_CQ,VPP_CER_CQ,BESS,SHALLOW,621.5396198999999,1,1,2,0.9,0.9,10,10,22.51833212,0,621.5396198999999,0,621.5396198999999,0,1,0,0,0,0,0,0,0,0,0,149.40361,-22.8242,1,0
33,VPP_CER_GG,VPP_CER_GG,BESS,SHALLOW,44.043448139999995,1,1,3,0.9,0.9,10,10,1.35496454,0,44.043448139999995,0,44.043448139999995,0,1,0,0,0,0,0,0,0,0,0,151.248803,-23.842948,1,0
34,VPP_CER_SQ,VPP_CER_SQ,BESS,SHALLOW,3687.5583823999996,1,1,4,0.9,0.9,10,10,122.7772766,0,3687.5583823999996,0,3687.5583823999996,0,1,0,0,0,0,0,0,0,0,0,153.029934,-27.476625,1,0
35,VPP_CER_NNSW,VPP_CER_NNSW,BESS,SHALLOW,1043.9091091,1,1,5,0.9,0.9,10,10,49.3208353,0,1043.9091091,0,1043.9091091,0,1,0,0,0,0,0,0,0,0,0,151.652465,-30.504711,1,0
36,VPP_CER_CNSW,VPP_CER_CNSW,BESS,SHALLOW,542.14070621,1,1,6,0.9,0.9,10,10,21.22326714,0,542.14070621,0,542.14070621,0,1,0,0,0,0,0,0,0,0,0,150.157717,-33.4833,1,0
37,VPP_CER_SNW,VPP_CER_SNW,BESS,SHALLOW,4805.7093401,1,1,7,0.9,0.9,10,10,206.5805332,0,4805.7093401,0,4805.7093401,0,1,0,0,0,0,0,0,0,0,0,151.209444,-33.865,1,0
38,VPP_CER_SNSW,VPP_CER_SNSW,BESS,SHALLOW,1024.26325,1,1,8,0.9,0.9,10,10,43.27120434,0,1024.26325,0,1024.26325,0,1,0,0,0,0,0,0,0,0,0,147.359907,-35.11098,1,0
39,VPP_CER_VIC,VPP_CER_VIC,BESS,SHALLOW,5123.63801,1,1,9,0.9,0.9,10,10,240.71594,0,5123.63801,0,5123.63801,0,1,0,0,0,0,0,0,0,0,0,144.943397,-37.766053,1,0
40,VPP_CER_TAS,VPP_CER_TAS,BESS,SHALLOW,355.02852524,1,1,10,0.9,0.9,10,10,5.9644924,0,355.02852524,0,355.02852524,0,1,0,0,0,0,0,0,0,0,0,147.325,-42.880556,1,0
41,VPP_CER_CSA,VPP_CER_CSA,BESS,SHALLOW,1828.9554303,1,1,11,0.9,0.9,10,10,185.93349812,0,1828.9554303,0,1828.9554303,0,1,0,0,0,0,0,0,0,0,0,138.52164,-34.80268,1,0
42,VPP_CER_SESA,VPP_CER_SESA,BESS,SHALLOW,72.44175375,1,1,12,0.9,0.9,10,10,6.77220188,0,72.44175375,0,72.44175375,0,1,0,0,0,0,0,0,0,0,0,140.8373,-37.6047,1,0
