id,name,tech,type,active,investment,capacity,n,bus_id,junction_id,efficiency,electricity_consumption,pmin,pmax,baseload,water,ramp,rampup,rampdown,export_node,domestic_node,longitude,latitude
1,ELECTROLYSER_EX_NQ,ELECTROLYSER,EXPORT,1,1,1,1,1,1,0.67,0,0,1,0.02,0,0,0,0,1,0,145.5635,-17.79385
2,ELECTROLYSER_EX_CQ,ELECTROLYSER,EXPORT,1,1,1,1,2,3,0.67,0,0,1,0.02,0,0,0,0,1,0,149.40361,-22.8242
3,ELECTROLYSER_EX_GG,ELECTROLYSER,EXPORT,1,1,1,1,3,5,0.67,0,0,1,0.02,0,0,0,0,1,0,151.248803,-23.842948
4,ELECTROLYSER_EX_SQ,ELECTROLYSER,EXPORT,1,1,1,1,4,7,0.67,0,0,1,0.02,0,0,0,0,1,0,153.029934,-27.476625
5,ELECTROLYSER_EX_NNSW,ELECTROLYSER,EXPORT,1,1,1,1,5,9,0.67,0,0,1,0.02,0,0,0,0,1,0,151.652465,-30.504711
6,ELECTROLYSER_EX_CNSW,ELECTROLYSER,EXPORT,1,1,1,1,6,11,0.67,0,0,1,0.02,0,0,0,0,1,0,150.157717,-33.4833
7,ELECTROLYSER_EX_SNW,ELECTROLYSER,EXPORT,1,1,1,1,7,13,0.67,0,0,1,0.02,0,0,0,0,1,0,151.209444,-33.865
8,ELECTROLYSER_EX_SNSW,ELECTROLYSER,EXPORT,1,1,1,1,8,15,0.67,0,0,1,0.02,0,0,0,0,1,0,147.359907,-35.11098
9,ELECTROLYSER_EX_VIC,ELECTROLYSER,EXPORT,1,1,1,1,9,17,0.67,0,0,1,0.02,0,0,0,0,1,0,144.943397,-37.766053
10,ELECTROLYSER_EX_TAS,ELECTROLYSER,EXPORT,1,1,1,1,10,19,0.67,0,0,1,0.02,0,0,0,0,1,0,147.325,-42.880556
11,ELECTROLYSER_EX_CSA,ELECTROLYSER,EXPORT,1,1,1,1,11,21,0.67,0,0,1,0.02,0,0,0,0,1,0,138.52164,-34.80268
12,ELECTROLYSER_EX_SESA,ELECTROLYSER,EXPORT,1,1,1,1,12,23,0.67,0,0,1,0.02,0,0,0,0,1,0,140.8373,-37.6047
13,ELECTROLYSER_DOM_NQ,ELECTROLYSER,DOMESTIC,1,1,1,1,1,2,0.67,0,0,1,0.02,0,0,0,0,0,1,145.5635,-17.79385
14,ELECTROLYSER_DOM_CQ,ELECTROLYSER,DOMESTIC,1,1,1,1,2,4,0.67,0,0,1,0.02,0,0,0,0,0,1,149.40361,-22.8242
15,ELECTROLYSER_DOM_GG,ELECTROLYSER,DOMESTIC,1,1,1,1,3,6,0.67,0,0,1,0.02,0,0,0,0,0,1,151.248803,-23.842948
16,ELECTROLYSER_DOM_SQ,ELECTROLYSER,DOMESTIC,1,1,1,1,4,8,0.67,0,0,1,0.02,0,0,0,0,0,1,153.029934,-27.476625
17,ELECTROLYSER_DOM_NNSW,ELECTROLYSER,DOMESTIC,1,1,1,1,5,10,0.67,0,0,1,0.02,0,0,0,0,0,1,151.652465,-30.504711
18,ELECTROLYSER_DOM_CNSW,ELECTROLYSER,DOMESTIC,1,1,1,1,6,12,0.67,0,0,1,0.02,0,0,0,0,0,1,150.157717,-33.4833
19,ELECTROLYSER_DOM_SNW,ELECTROLYSER,DOMESTIC,1,1,1,1,7,14,0.67,0,0,1,0.02,0,0,0,0,0,1,151.209444,-33.865
20,ELECTROLYSER_DOM_SNSW,ELECTROLYSER,DOMESTIC,1,1,1,1,8,16,0.67,0,0,1,0.02,0,0,0,0,0,1,147.359907,-35.11098
21,ELECTROLYSER_DOM_VIC,ELECTROLYSER,DOMESTIC,1,1,1,1,9,18,0.67,0,0,1,0.02,0,0,0,0,0,1,144.943397,-37.766053
22,ELECTROLYSER_DOM_TAS,ELECTROLYSER,DOMESTIC,1,1,1,1,10,20,0.67,0,0,1,0.02,0,0,0,0,0,1,147.325,-42.880556
23,ELECTROLYSER_DOM_CSA,ELECTROLYSER,DOMESTIC,1,1,1,1,11,22,0.67,0,0,1,0.02,0,0,0,0,0,1,138.52164,-34.80268
24,ELECTROLYSER_DOM_SESA,ELECTROLYSER,DOMESTIC,1,1,1,1,12,24,0.67,0,0,1,0.02,0,0,0,0,0,1,140.8373,-37.6047
