id,electrolyser_id,investment,capitalcost,leadtime,lifespan,nmax,inv_group,inv_model
1,1,1795764.3,0.07,1,20,999999,1,EXPANSION
2,2,1795764.3,0.07,1,20,999999,1,EXPANSION
3,3,1795764.3,0.07,1,20,999999,1,EXPANSION
4,4,1795764.3,0.07,1,20,999999,1,EXPANSION
5,5,1795764.3,0.07,1,20,999999,1,EXPANSION
6,6,1795764.3,0.07,1,20,999999,1,EXPANSION
7,7,1795764.3,0.07,1,20,999999,1,EXPANSION
8,8,1795764.3,0.07,1,20,999999,1,EXPANSION
9,9,1795764.3,0.07,1,20,999999,1,EXPANSION
10,10,1795764.3,0.07,1,20,999999,1,EXPANSION
11,11,1795764.3,0.07,1,20,999999,1,EXPANSION
12,12,1795764.3,0.07,1,20,999999,1,EXPANSION
13,13,1795764.3,0.07,1,20,999999,1,EXPANSION
14,14,1795764.3,0.07,1,20,999999,1,EXPANSION
15,15,1795764.3,0.07,1,20,999999,1,EXPANSION
16,16,1795764.3,0.07,1,20,999999,1,EXPANSION
17,17,1795764.3,0.07,1,20,999999,1,EXPANSION
18,18,1795764.3,0.07,1,20,999999,1,EXPANSION
19,19,1795764.3,0.07,1,20,999999,1,EXPANSION
20,20,1795764.3,0.07,1,20,999999,1,EXPANSION
21,21,1795764.3,0.07,1,20,999999,1,EXPANSION
22,22,1795764.3,0.07,1,20,999999,1,EXPANSION
23,23,1795764.3,0.07,1,20,999999,1,EXPANSION
24,24,1795764.3,0.07,1,20,999999,1,EXPANSION
