id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
1,Coal_CNSW_1,Coal_CNSW_1,Coal,Coal,Coal,684.17,0.67,6,256.67,684.17,3.67,3.67,0,1,29.24,2.57,5.1,0.06,859.86,0.3,9.38,68.42,0,4,0,1,1,0,0.85,0,0,6,1
2,Coal_CQ_1,Coal_CQ_1,Coal,Coal,Coal,375.5,0.84,2,153.75,375.5,4,4,0,1,26.81,2.38,5.02,0.06,885.93,0.3,9.15,37.55,0,4,0,1,1,0,0.85,0,0,8,1
4,Coal_SNW_1,Coal_SNW_1,Coal,Coal,Coal,700,0.67,7,223.33,700,5.33,5.33,0,1,31.09,2.71,5.1,0.06,900.86,0.3,9.59,70,0,4,0,1,1,0,0.85,0,0,6,1
5,Gladstone,GSTONE1,Coal,Black Coal QLD,Steam Sub Critical,280,0.83625576,3,110,280,5,5,0,1,31.395093303014946,2.7836462573213545,5.023707707338957,0.06348,985.8045036566772,0.3,9.473684210526315,28,0,4,0,1,1,0,0.85,0,0,6,1
6,Coal_SQ_1,Coal_SQ_1,Coal,Coal,Coal,532,0.84,4,243.33,532,6,6,0,1,18.81,1.52,5.02,0.06,837.48,0.3,9.07,53.2,0,4,0,1,1,0,0.85,0,0,3,1
7,Coal_VIC_1,Coal_VIC_1,Coal,Coal,Coal,482,0.83,9,264,482,5.2,5.2,0,1,14.56,0.76,4.78,0.16,1204.42,0.3,12.93,48.2,0,4,0,1,1,0,0.85,0,0,10,1
12,Coal_SQ_2,Coal_SQ_2,Coal,Coal,Coal,370,0.84,4,148,370,4,4,0,1,32.71,3.04,5.02,0.06,886.6,0.3,9.1,37,0,4,0,1,1,0,0.85,0,0,5,1
16,Diesel_CSA_1,Diesel_CSA_1,Diesel,Diesel,Diesel,36.5,0.9,11,7.3,36.5,3,3,0,1,466.32,35.43,12.82,0.02,1118.31,0.6,12.8,3.65,0,4,0,1,1,0,0.85,-34.5035,139.0245,3,1
17,Diesel_CSA_2,Diesel_CSA_2,Diesel,Diesel,Diesel,33.75,0.9,11,6.75,33.75,3,3,0,1,293.06,35.43,13.34,0.02,657.98,0.6,7.89,3.38,0,4,0,1,1,0,0.85,-35.1097,138.491,2,1
18,Mt Stuart,MSTUART1,Diesel,Diesel,Reciprocating Engine,141.16666666666666,0.9020784,1,28.23,141.16666666666666,9999,9999,0,1,433.5339871355697,35.43153658193376,12.565235667049695,0.01808,1001.6305644669512,0.6,11.881188118811883,14.116666666666667,0,4,0,1,1,0,0.85,-19.337998,146.851171,3,1
21,Snapper Point Power Station,SNAPPER1,Diesel,Diesel,Reciprocating Engine,30.8,0.9020784,11,6.16,30.8,9999,9999,0,1,183.53552196346035,16.751700046219494,12.83177896958382,0.013470000000000001,541.6007456765004,0.6,10.190233977619531,3.08,0,4,0,1,1,0,0.85,-34.765,138.5053,5,1
22,Snuggery,SNUG1,Diesel,Diesel,Reciprocating Engine,21,0.9020784,12,4.2,21,9999,9999,0,1,488.51124945421964,35.43153658193376,12.565235667049695,0.01808,1106.8763326226012,0.6,13.432835820895521,2.1,0,4,0,1,1,0,0.85,-37.66455,140.415558,3,1
23,Hydro_NQ,Hydro_NQ,Hydro,Hydro,Hydro,26.07,0.93439578,1,5.21,26.07,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.61,0,2.5,0,1,1,0,0.85,-16.85086,145.6469,6,1
24,Hydro_TAS,Hydro_TAS,Hydro,Hydro,Hydro,48.37,0.93439578,10,9.67,48.37,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,4.84,0,2.5,0,1,1,0,0.85,-41.736,145.5321,45,1
25,Hydro_SNSW,Hydro_SNSW,Hydro,Hydro,Hydro,65.42,0.93439578,8,13.08,65.42,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,6.54,0,2.5,0,1,1,0,0.85,-35.3986,148.246272,12,1
26,Hydro_VIC,Hydro_VIC,Hydro,Hydro,Hydro,54.12,0.93439578,9,10.82,54.12,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,5.41,0,2.5,0,1,1,0,0.85,-36.8067,147.2287,41,1
53,Kogan Gas,Kogan Gas,Hydrogen,Hydrogen-based gas turbines,Hydrogen-based gas turbines,200,0.98,4,0,200,22,22,0,1,40.6334,0,40.6334,0.0695045,580.9846703741154,0.4,12.72,20,0,4,0,1,1,0,0.85,0,0,1,1
54,SA Hydrogen Turbine,SA Hydrogen Turbine,Hydrogen,Hydrogen-based gas turbines,Hydrogen-based gas turbines,200,0.98,11,0,200,22,22,0,1,331.29892397668567,22.851063205714283,40.6334,0.0695045,580.9846703741154,0.4,12.72,20,0,4,0,1,1,0,0.85,0,0,1,1
