id,active,gen_id,down_time,up_time,last_state,last_state_period,last_state_output,start_up_cost,shut_down_cost,start_up_time,shut_down_time
1,1,1,0,8,0,0,0,78933.41201701645,0,0,0
2,1,2,0,8,0,0,0,36949.64986878176,0,0,0
4,1,4,0,8,0,0,0,87386.83679153655,0,0,0
5,1,5,0,8,0,0,0,35162.50449937674,0,0,0
6,1,6,0,8,0,0,0,57354.334096582636,0,0,0
7,1,7,0,16,0,0,0,30983.876952483923,0,0,0
12,1,12,0,8,0,0,0,46272.163842290174,0,0,0
16,1,16,0,0,0,0,0,0,0,0,0
17,1,17,0,0,0,0,0,0,0,0,0
18,1,18,0,0,0,0,0,0,0,0,0
21,1,21,0,0,0,0,0,0,0,0,0
22,1,22,0,0,0,0,0,0,0,0,0
23,1,23,0,0,0,0,0,0,0,0,0
24,1,24,0,0,0,0,0,0,0,0,0
25,1,25,0,0,0,0,0,0,0,0,0
26,1,26,0,0,0,0,0,0,0,0,0
53,1,53,0,0,0,0,0,0,0,0,0
54,1,54,0,0,0,0,0,0,0,0,0
55,1,55,0,0,0,0,0,0,0,0,0
56,1,56,0,0,0,0,0,0,0,0,0
57,1,57,0,0,0,0,0,0,0,0,0
58,1,58,0,0,0,0,0,0,0,0,0
60,1,60,0,0,0,0,0,0,0,0,0
62,1,62,0,0,0,0,0,0,0,0,0
63,1,63,0,4,0,0,0,0,0,0,0
64,1,64,0,4,0,0,0,0,0,0,0
65,1,65,0,0,0,0,0,0,0,0,0
67,1,67,0,0,0,0,0,0,0,0,0
70,1,70,0,0,0,0,0,0,0,0,0
76,1,76,0,4,0,0,0,0,0,0,0
83,1,83,0,4,0,0,0,0,0,0,0
85,1,85,0,4,0,0,0,0,0,0,0
87,1,87,0,4,0,0,0,0,0,0,0
88,1,88,0,4,0,0,0,0,0,0,0
89,1,89,0,0,0,0,0,0,0,0,0
91,1,91,0,6,0,0,0,0,0,0,0
