id,gen_id,scenario,date,value
1,53,1,2020-01-01 00:00:00,0
2,53,1,2026-07-01 00:00:00,1
3,53,2,2020-01-01 00:00:00,0
4,53,2,2026-07-01 00:00:00,1
5,53,3,2020-01-01 00:00:00,0
6,53,3,2026-07-01 00:00:00,1
7,54,1,2020-01-01 00:00:00,0
8,54,1,2025-12-01 00:00:00,1
9,54,2,2020-01-01 00:00:00,0
10,54,2,2025-12-01 00:00:00,1
11,54,3,2020-01-01 00:00:00,0
12,54,3,2025-12-01 00:00:00,1
13,62,1,2020-01-01 00:00:00,4
14,62,1,2024-12-01 00:00:00,9
15,62,2,2020-01-01 00:00:00,4
16,62,2,2024-12-01 00:00:00,9
17,62,3,2020-01-01 00:00:00,4
18,62,3,2024-12-01 00:00:00,9
19,62,1,2020-01-01 00:00:00,4
20,62,1,2024-02-01 00:00:00,6
21,62,2,2020-01-01 00:00:00,4
22,62,2,2024-02-01 00:00:00,6
23,62,3,2020-01-01 00:00:00,4
24,62,3,2024-02-01 00:00:00,6
25,4,1,2028-07-01 00:00:00,0
26,56,1,2034-07-01 00:00:00,0
27,2,1,2051-07-01 00:00:00,0
28,1,1,2040-07-01 00:00:00,0
29,91,1,2050-07-01 00:00:00,0
30,58,1,2050-07-01 00:00:00,0
31,7,1,2028-07-01 00:00:00,7
32,58,1,2040-07-01 00:00:00,1
33,89,1,2044-07-01 00:00:00,0
34,5,1,2027-07-01 00:00:00,3
35,5,1,2030-07-01 00:00:00,1
36,5,1,2031-07-01 00:00:00,0
37,55,1,2028-07-01 00:00:00,5
38,70,1,2035-07-01 00:00:00,0
39,88,1,2046-07-01 00:00:00,0
40,67,1,2039-07-01 00:00:00,5
41,6,1,2034-07-01 00:00:00,2
42,12,1,2030-07-01 00:00:00,3
43,12,1,2032-07-01 00:00:00,2
44,12,1,2033-07-01 00:00:00,0
45,65,1,2030-07-01 00:00:00,8
46,60,1,2046-07-01 00:00:00,6
47,12,1,2033-07-01 00:00:00,0
48,60,1,2049-07-01 00:00:00,2
49,4,1,2025-07-01 00:00:00,2
50,64,1,2045-07-01 00:00:00,0
51,57,1,2045-07-01 00:00:00,3
52,18,1,2033-07-01 00:00:00,1
53,18,1,2044-07-01 00:00:00,0
54,7,1,2034-07-01 00:00:00,1
55,7,1,2047-07-01 00:00:00,0
56,1,1,2028-07-01 00:00:00,5
57,1,1,2029-07-01 00:00:00,2
58,55,1,2042-07-01 00:00:00,4
59,67,1,2033-07-01 00:00:00,13
60,16,1,2027-07-01 00:00:00,1
61,87,1,2026-07-01 00:00:00,0
62,76,1,2037-07-01 00:00:00,0
63,60,1,2050-07-01 00:00:00,0
64,62,1,2044-07-01 00:00:00,8
65,63,1,2039-07-01 00:00:00,0
66,83,1,2043-07-01 00:00:00,0
67,55,1,2047-07-01 00:00:00,2
68,57,1,2044-07-01 00:00:00,5
69,7,1,2033-07-01 00:00:00,3
70,60,1,2034-07-01 00:00:00,10
71,65,1,2030-07-01 00:00:00,9
72,2,1,2027-07-01 00:00:00,6
73,85,1,2027-07-01 00:00:00,0
74,21,1,2046-07-01 00:00:00,0
75,64,1,2036-07-01 00:00:00,3
76,2,1,2029-07-01 00:00:00,3
77,2,1,2032-07-01 00:00:00,2
78,76,1,2026-07-01 00:00:00,4
79,22,1,2027-07-01 00:00:00,0
80,67,1,2039-07-01 00:00:00,5
