id,name,alias,tech,type,capacity,active,investment,junction_id,ch_eff,dch_eff,vini,vmin,vmax,fcmin,fcmax,fdmin,fdmax,longitude,latitude,n
1,HSS_EX_NQ,HSS_EX_NQ,DUMMY,DUMMY,1,1,0,1,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,145.5635,-17.79385,1
2,HSS_EX_CQ,HSS_EX_CQ,DUMMY,DUMMY,1,1,0,3,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,149.40361,-22.8242,1
3,HSS_EX_GG,HSS_EX_GG,DUMMY,DUMMY,1,1,0,5,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.248803,-23.842948,1
4,HSS_EX_SQ,HSS_EX_SQ,DUMMY,DUMMY,1,1,0,7,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,153.029934,-27.476625,1
5,HSS_EX_NNSW,HSS_EX_NNSW,DUMMY,DUMMY,1,1,0,9,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.652465,-30.504711,1
6,HSS_EX_CNSW,HSS_EX_CNSW,DUMMY,DUMMY,1,1,0,11,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,150.157717,-33.4833,1
7,HSS_EX_SNW,HSS_EX_SNW,DUMMY,DUMMY,1,1,0,13,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.209444,-33.865,1
8,HSS_EX_SNSW,HSS_EX_SNSW,DUMMY,DUMMY,1,1,0,15,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,147.359907,-35.11098,1
9,HSS_EX_VIC,HSS_EX_VIC,DUMMY,DUMMY,1,1,0,17,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,144.943397,-37.766053,1
10,HSS_EX_TAS,HSS_EX_TAS,DUMMY,DUMMY,1,1,0,19,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,147.325,-42.880556,1
11,HSS_EX_CSA,HSS_EX_CSA,DUMMY,DUMMY,1,1,0,21,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,138.52164,-34.80268,1
12,HSS_EX_SESA,HSS_EX_SESA,DUMMY,DUMMY,1,1,0,23,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,140.8373,-37.6047,1
13,HSS_DOM_NQ,HSS_DOM_NQ,DUMMY,DUMMY,1,1,0,2,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,145.5635,-17.79385,1
14,HSS_DOM_CQ,HSS_DOM_CQ,DUMMY,DUMMY,1,1,0,4,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,149.40361,-22.8242,1
15,HSS_DOM_GG,HSS_DOM_GG,DUMMY,DUMMY,1,1,0,6,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.248803,-23.842948,1
16,HSS_DOM_SQ,HSS_DOM_SQ,DUMMY,DUMMY,1,1,0,8,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,153.029934,-27.476625,1
17,HSS_DOM_NNSW,HSS_DOM_NNSW,DUMMY,DUMMY,1,1,0,10,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.652465,-30.504711,1
18,HSS_DOM_CNSW,HSS_DOM_CNSW,DUMMY,DUMMY,1,1,0,12,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,150.157717,-33.4833,1
19,HSS_DOM_SNW,HSS_DOM_SNW,DUMMY,DUMMY,1,1,0,14,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,151.209444,-33.865,1
20,HSS_DOM_SNSW,HSS_DOM_SNSW,DUMMY,DUMMY,1,1,0,16,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,147.359907,-35.11098,1
21,HSS_DOM_VIC,HSS_DOM_VIC,DUMMY,DUMMY,1,1,0,18,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,144.943397,-37.766053,1
22,HSS_DOM_TAS,HSS_DOM_TAS,DUMMY,DUMMY,1,1,0,20,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,147.325,-42.880556,1
23,HSS_DOM_CSA,HSS_DOM_CSA,DUMMY,DUMMY,1,1,0,22,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,138.52164,-34.80268,1
24,HSS_DOM_SESA,HSS_DOM_SESA,DUMMY,DUMMY,1,1,0,24,0.95,0.95,0,0,0,0,1000000000000,0,1000000000000,140.8373,-37.6047,1
