id,name,total_energy,h2load_m3_per_hr,demand_timestep,convert2ammonia,density,junction_id,active,controllable,voll,contingency,export,domestic,steel
1,NEM_H2_EXPORT,0,0,24,0.000234194,0.08375,"1,3,5,7,9,11,13,15,17,19,21,23",1,0,87.80473339,0,1,0,0
2,NEM_H2_STEEL,0,0,24,0.000234194,0.08375,"1,3,5,7,9,11,13,15,17,19,21,23",1,0,87.80473339,0,0,0,1
3,CQ_H2_DOM,0,0,24,0.000234194,0.08375,4,1,0,87.80473339,0,0,1,0
4,SQ_H2_DOM,0,0,24,0.000234194,0.08375,8,1,0,87.80473339,0,0,1,0
5,SNW_H2_DOM,0,0,24,0.000234194,0.08375,14,1,0,87.80473339,0,0,1,0
6,SNSW_H2_DOM,0,0,24,0.000234194,0.08375,16,1,0,87.80473339,0,0,1,0
7,VIC_H2_DOM,0,0,24,0.000234194,0.08375,18,1,0,87.80473339,0,0,1,0
8,TAS_H2_DOM,0,0,24,0.000234194,0.08375,20,1,0,87.80473339,0,0,1,0
9,CSA_H2_DOM,0,0,24,0.000234194,0.08375,22,1,0,87.80473339,0,0,1,0
10,SESA_H2_DOM,0,0,24,0.000234194,0.08375,24,1,0,87.80473339,0,0,1,0
