id,lin_id,investment,capitalcost,leadtime,lifespan,nmax,inv_group,inv_model
1,17,1126363.636,0.1,0,50,1,1,MEXCL
2,18,1394666.667,0.1,0,50,1,1,MEXCL
3,19,500000,0.1,0,50,1,1,MEXCL
4,20,911111.111,0.1,0,50,1,1,MEXCL
5,21,256666.667,0.1,0,50,1,1,MEXCL
6,22,33330000,0.1,0,50,1,1,MEXCL
7,23,1235333.333,0.1,0,50,1,1,MEXCL
8,24,1043492.063,0.1,0,50,1,1,MEXCL
9,25,1033333.333,0.1,0,50,1,1,MEXCL
10,26,711764.706,0.1,0,50,1,1,MEXCL
11,27,49995000,0.1,0,50,1,1,MEXCL
12,28,2139500,0.1,0,50,1,1,MEXCL
13,29,866666.667,0.1,0,50,1,1,MEXCL
14,30,611333.333,0.1,0,50,1,1,MEXCL
15,31,497666.667,0.1,0,50,1,1,MEXCL
16,32,681111.111,0.1,0,50,1,1,MEXCL
17,33,1272000,0.1,0,50,1,1,MEXCL
18,34,1398000,0.1,0,50,1,1,MEXCL
19,35,219800,0.1,0,50,1,1,MEXCL
20,36,344444.444,0.1,0,50,1,1,MEXCL
21,37,744166.667,0.1,0,50,1,1,MEXCL
22,38,221000000,0.1,0,50,1,1,MEXCL
23,39,308023.256,0.1,0,50,1,1,MEXCL
24,40,264000,0.1,0,50,1,1,MEXCL
25,41,561363.636,0.1,0,50,1,1,MEXCL
26,42,332600,0.1,0,50,1,1,MEXCL
27,43,284000,0.1,0,50,1,1,MEXCL
28,44,416590.909,0.1,0,50,1,1,MEXCL
29,45,320681.818,0.1,0,50,1,1,MEXCL
30,46,2223636.364,0.1,0,50,1,1,MEXCL
31,47,1225000,0.1,0,50,1,1,MEXCL
32,48,502333.333,0.1,0,50,1,1,MEXCL
33,49,790000,0.1,0,50,1,1,MEXCL
34,50,1867700.258,0.1,0,50,1,1,MEXCL
35,51,5120000,0.1,0,50,1,1,MEXCL
36,52,3646666.667,0.1,0,50,1,1,MEXCL
37,53,543902.439,0.1,0,50,1,1,MEXCL
38,54,454333.333,0.1,0,50,1,1,MEXCL
39,55,602333.333,0.1,0,50,1,1,MEXCL
