id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
1,Bayswater,BW01,Coal,Black Coal NSW,Steam Sub Critical,678.75,0.6745236000000001,6,250,678.75,4,4,0,1,29.073079932602745,2.537027657104,5.101165062328734,0.0645,889.2019557080466,0.3,9.448818897637794,67.875,0,4,0,1,1,0,0.85,0,0,4,1
2,Callide B,CALL_B_1,Coal,Black Coal QLD,Steam Sub Critical,350,0.83625576,2,155,350,4,4,0,1,26.392607049129825,2.3327715114788363,5.023707707338957,0.06348,942.8409057825446,0.3,9.160305343511451,35,0,4,0,1,1,0,0.85,0,0,2,1
3,Callide C,CPP_3,Coal,Black Coal QLD,Steam Super Critical,422,0.83625576,2,180,422,4,4,0,1,26.72390781411883,2.3327715114788363,5.023707707338957,0.06348,873.952738112746,0.3,9.30232558139535,42.2,0,4,0,1,1,0,0.85,0,0,2,1
4,Eraring,ER01,Coal,Black Coal NSW,Steam Sub Critical,720,0.6745236000000001,7,210,720,5,5,0,1,30.34265166372797,2.643344569090976,5.101165062328734,0.0645,878.937979925076,0.3,9.549071618037134,72,0,4,0,1,1,0,0.85,0,0,4,1
5,Gladstone,GSTONE1,Coal,Black Coal QLD,Steam Sub Critical,280,0.83625576,3,110,280,5,5,0,1,31.395093303014946,2.7836462573213545,5.023707707338957,0.06348,985.8045036566772,0.3,9.473684210526315,28,0,4,0,1,1,0,0.85,0,0,6,1
6,Kogan Creek,KPP_1,Coal,Black Coal QLD,Steam Super Critical,744,0.83625576,4,330,744,8,8,0,1,19.272289682991477,1.6187972300116333,5.023707707338957,0.06348,861.9335194223072,0.3,8.80195599022005,74.4,0,4,0,1,1,0,0.85,0,0,1,1
7,Loy Yang A Power Station,LYA1,Coal,Brown Coal VIC,Steam Sub Critical,552.5,0.82760396,9,300,552.5,5,5,0,1,14.019853824653358,0.7593421468618192,4.784611497955559,0.16363999999999998,1168.8606403491956,0.3,12.16216216216216,55.25,0,4,0,1,1,0,0.85,0,0,4,1
8,Loy Yang B,LOYYB1,Coal,Brown Coal VIC,Steam Sub Critical,580,0.82760396,9,320,580,10,10,0,1,14.309460726884302,0.7593421468618192,4.784611497955559,0.16363999999999998,1111.1527514656036,0.3,12.543554006968641,58,0,4,0,1,1,0,0.85,0,0,2,1
9,Millmerran,MPP_1,Coal,Black Coal QLD,Steam Super Critical,426,0.83625576,4,200,426,5,5,0,1,18.581872213851952,1.4725673116796059,5.023707707338957,0.06348,825.2498618115156,0.3,9.207161125319693,42.6,0,4,0,1,1,0,0.85,0,0,2,1
10,Mt Piper,MP1,Coal,Black Coal NSW,Steam Sub Critical,695,0.6745236000000001,6,270,695,3,3,0,1,29.563993979366046,2.643344569090976,5.101165062328734,0.0645,801.1644115332886,0.3,9.254498714652957,69.5,0,4,0,1,1,0,0.85,0,0,2,1
11,Stanwell,STAN-1,Coal,Black Coal QLD,Steam Sub Critical,365,0.83625576,2,140,365,4,4,0,1,27.05555610956961,2.4296232821348807,5.023707707338957,0.06348,863.4612605952427,0.3,9.06801007556675,36.5,0,4,0,1,1,0,0.85,0,0,4,1
12,Tarong,TARONG#1,Coal,Black Coal QLD,Steam Sub Critical,350,0.83625576,4,140,350,4,4,0,1,33.05154560163584,3.044134615741689,5.023707707338957,0.06348,886.5997945655309,0.3,9.207161125319693,35,0,4,0,1,1,0,0.85,0,0,4,1
13,Tarong North,TNPS1,Coal,Black Coal QLD,Steam Super Critical,450,0.83625576,4,180,450,4,4,0,1,31.36718034356511,3.044134615741689,5.023707707338957,0.06348,886.5997945655309,0.3,8.653846153846153,45,0,4,0,1,1,0,0.85,0,0,1,1
14,Vales Point B,VP5,Coal,Black Coal NSW,Steam Sub Critical,660,0.6745236000000001,7,250,660,6,6,0,1,32.59055684735432,2.8405704844526447,5.101165062328734,0.0645,944.7032806579716,0.3,9.677419354838708,66,0,4,0,1,1,0,0.85,0,0,2,1
15,Yallourn W,YWPS1,Coal,Brown Coal,Steam Sub Critical,362.5,0.82760396,9,200,362.5,3,3,0,1,15.234673536651798,0.7518239077839793,4.784611497955559,0.16363999999999998,1286.6018670776189,0.3,13.8996138996139,36.25,0,4,0,1,1,0,0.85,-38.177015,146.342783,4,1
16,Angaston,ANGAST1,Diesel,Diesel,Reciprocating Engine,36,0.9020784,11,7.2,36,9999,9999,0,1,465.97937599714805,35.43153658193376,13.34086749834906,0.01804,685.7579572019421,0.6,12.7750177430802,3.6,0,4,0,1,1,0,0.85,-34.5035,139.0245,1,1
17,Lonsdale,LONSDALE,Diesel,Diesel,Reciprocating Engine,20.7,0.9020784,11,4.14,20.7,9999,9999,0,1,293.06352472414187,35.43153658193376,13.34086749834906,0.01804,657.9846285226301,0.6,7.894736842105263,2.07,0,4,0,1,1,0,0.85,-35.1097,138.491,1,1
18,Mt Stuart,MSTUART1,Diesel,Diesel,Reciprocating Engine,141.16666666666666,0.9020784,1,28.23,141.16666666666666,9999,9999,0,1,433.5339871355697,35.43153658193376,12.565235667049695,0.01808,1001.6305644669512,0.6,11.881188118811883,14.116666666666667,0,4,0,1,1,0,0.85,-19.337998,146.851171,3,1
19,Port Lincoln GT,POR01,Diesel,Diesel,Reciprocating Engine,36.75,0.9020784,11,7.35,36.75,9999,9999,0,1,466.49239472385227,35.43153658193376,12.565235667049695,0.01808,1334.5888261142497,0.6,12.81138790035587,3.6750000000000003,0,4,0,1,1,0,0.85,-34.70019,135.804728,2,1
20,Port Stanvac 1,PTSTAN1,Diesel,Diesel,Reciprocating Engine,46.8,0.9020784,11,9.36,46.8,9999,9999,0,1,293.06352472414187,35.43153658193376,13.34086749834906,0.01804,657.9846285226301,0.6,7.894736842105263,4.68,0,4,0,1,1,0,0.85,-35.1104,138.49146,1,1
21,Snapper Point Power Station,SNAPPER1,Diesel,Diesel,Reciprocating Engine,30.8,0.9020784,11,6.16,30.8,9999,9999,0,1,183.53552196346035,16.751700046219494,12.83177896958382,0.013470000000000001,541.6007456765004,0.6,10.190233977619531,3.08,0,4,0,1,1,0,0.85,-34.765,138.5053,5,1
