id,gen_id,scenario,date,value
1,53,1,2020-01-01 00:00:00,0
2,53,1,2026-07-01 00:00:00,1
3,53,2,2020-01-01 00:00:00,0
4,53,2,2026-07-01 00:00:00,1
5,53,3,2020-01-01 00:00:00,0
6,53,3,2026-07-01 00:00:00,1
7,54,1,2020-01-01 00:00:00,0
8,54,1,2025-12-01 00:00:00,1
9,54,2,2020-01-01 00:00:00,0
10,54,2,2025-12-01 00:00:00,1
11,54,3,2020-01-01 00:00:00,0
12,54,3,2025-12-01 00:00:00,1
13,69,1,2020-01-01 00:00:00,0
14,69,1,2024-12-01 00:00:00,2
15,69,2,2020-01-01 00:00:00,0
16,69,2,2024-12-01 00:00:00,2
17,69,3,2020-01-01 00:00:00,0
18,69,3,2024-12-01 00:00:00,2
19,84,1,2020-01-01 00:00:00,0
20,84,1,2024-02-01 00:00:00,1
21,84,2,2020-01-01 00:00:00,0
22,84,2,2024-02-01 00:00:00,1
23,84,3,2020-01-01 00:00:00,0
24,84,3,2024-02-01 00:00:00,1
25,14,1,2028-07-01 00:00:00,0
26,56,1,2034-07-01 00:00:00,0
27,3,1,2051-07-01 00:00:00,0
28,10,1,2040-07-01 00:00:00,0
29,91,1,2050-07-01 00:00:00,0
30,86,1,2050-07-01 00:00:00,0
31,15,1,2028-07-01 00:00:00,0
32,58,1,2040-07-01 00:00:00,0
33,89,1,2044-07-01 00:00:00,0
34,5,1,2027-07-01 00:00:00,3
35,5,1,2030-07-01 00:00:00,1
36,5,1,2031-07-01 00:00:00,0
37,74,1,2028-07-01 00:00:00,0
38,70,1,2035-07-01 00:00:00,0
39,88,1,2046-07-01 00:00:00,0
40,68,1,2039-07-01 00:00:00,0
41,6,1,2034-07-01 00:00:00,0
42,12,1,2030-07-01 00:00:00,2
43,12,1,2032-07-01 00:00:00,1
44,12,1,2033-07-01 00:00:00,0
45,65,1,2030-07-01 00:00:00,0
46,60,1,2046-07-01 00:00:00,0
47,13,1,2033-07-01 00:00:00,0
48,61,1,2049-07-01 00:00:00,0
49,4,1,2025-07-01 00:00:00,0
50,64,1,2045-07-01 00:00:00,0
51,59,1,2045-07-01 00:00:00,0
52,18,1,2033-07-01 00:00:00,1
53,18,1,2044-07-01 00:00:00,0
54,8,1,2034-07-01 00:00:00,1
55,8,1,2047-07-01 00:00:00,0
56,1,1,2028-07-01 00:00:00,3
57,1,1,2029-07-01 00:00:00,0
58,55,1,2042-07-01 00:00:00,0
59,81,1,2033-07-01 00:00:00,0
60,19,1,2027-07-01 00:00:00,0
61,87,1,2026-07-01 00:00:00,0
62,77,1,2037-07-01 00:00:00,0
63,75,1,2050-07-01 00:00:00,0
64,80,1,2044-07-01 00:00:00,0
65,63,1,2039-07-01 00:00:00,0
66,83,1,2043-07-01 00:00:00,0
67,73,1,2047-07-01 00:00:00,0
68,57,1,2044-07-01 00:00:00,0
69,7,1,2033-07-01 00:00:00,0
70,79,1,2034-07-01 00:00:00,0
71,72,1,2030-07-01 00:00:00,0
72,2,1,2027-07-01 00:00:00,0
73,85,1,2027-07-01 00:00:00,0
74,21,1,2046-07-01 00:00:00,0
75,82,1,2036-07-01 00:00:00,0
76,11,1,2029-07-01 00:00:00,1
77,11,1,2032-07-01 00:00:00,0
78,76,1,2026-07-01 00:00:00,0
79,22,1,2027-07-01 00:00:00,0
80,67,1,2039-07-01 00:00:00,0
