id_dr,name,tech,id_dem,active,investment,capacity,n,shift,pshup_max,pshdn_max,esh_max,esh_min,rec_sh,cost_sh,reduct,pred_max,cost_red,ramp,ramp_up,ramp_dn
1,DSP_SNW_B1,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
2,DSP_SNW_B2,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
3,DSP_SNW_B3,DSP,1,1,1,1.5916,0,0,0,0,0,0,0,0,1,1.5916,1000,0,0,0
4,DSP_SNW_B4,DSP,1,1,1,0.017,0,0,0,0,0,0,0,0,1,0.017,7500,0,0,0
5,DSP_SNW_B1,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
6,DSP_SNW_B2,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
7,DSP_SNW_B3,DSP,2,1,1,0.7081,0,0,0,0,0,0,0,0,1,0.7081,1000,0,0,0
8,DSP_SNW_B4,DSP,2,1,1,0.0076,0,0,0,0,0,0,0,0,1,0.0076,7500,0,0,0
9,DSP_SNW_B1,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
10,DSP_SNW_B2,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
11,DSP_SNW_B3,DSP,3,1,1,0.9493,0,0,0,0,0,0,0,0,1,0.9493,1000,0,0,0
12,DSP_SNW_B4,DSP,3,1,1,0.0101,0,0,0,0,0,0,0,0,1,0.0101,7500,0,0,0
13,DSP_SNW_B1,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
14,DSP_SNW_B2,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
15,DSP_SNW_B3,DSP,4,1,1,0.6823,0,0,0,0,0,0,0,0,1,0.6823,1000,0,0,0
16,DSP_SNW_B4,DSP,4,1,1,0.0073,0,0,0,0,0,0,0,0,1,0.0073,7500,0,0,0
17,DSP_SNW_B1,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
18,DSP_SNW_B2,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
19,DSP_SNW_B3,DSP,5,1,1,1.5495,0,0,0,0,0,0,0,0,1,1.5495,1000,0,0,0
20,DSP_SNW_B4,DSP,5,1,1,0.0165,0,0,0,0,0,0,0,0,1,0.0165,7500,0,0,0
21,DSP_SNW_B1,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
22,DSP_SNW_B2,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
23,DSP_SNW_B3,DSP,6,1,1,2.2878,0,0,0,0,0,0,0,0,1,2.2878,1000,0,0,0
24,DSP_SNW_B4,DSP,6,1,1,0.0244,0,0,0,0,0,0,0,0,1,0.0244,7500,0,0,0
25,DSP_SNW_B1,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
26,DSP_SNW_B2,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
27,DSP_SNW_B3,DSP,7,1,1,1.5282,0,0,0,0,0,0,0,0,1,1.5282,1000,0,0,0
28,DSP_SNW_B4,DSP,7,1,1,0.0163,0,0,0,0,0,0,0,0,1,0.0163,7500,0,0,0
29,DSP_SNW_B1,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
30,DSP_SNW_B2,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
31,DSP_SNW_B3,DSP,8,1,1,0.5194,0,0,0,0,0,0,0,0,1,0.5194,1000,0,0,0
32,DSP_SNW_B4,DSP,8,1,1,0.0055,0,0,0,0,0,0,0,0,1,0.0055,7500,0,0,0
