id_ess,name,tech,capacity,investment,active,id_bus,ch_eff,dch_eff,cvar,eini,emin,emax,pmin,pmax,lmin,lmax,inertia,powerfactor,ffr,pfr,res2,res3,fr_db,fr_fr,n,contingency
1,VPP CRE,CER,13.021,1,1,2,0.922,0.922,0,20,20,28.646200000000004,0,13.021,0,13.021,0,0.95,1,1,0,0,0,100,0,1
2,VPP LYD,CER,5.793,1,1,3,0.922,0.922,0,20,20,12.744600000000002,0,5.793,0,5.793,0,0.95,1,1,0,0,0,100,0,1
3,VPP BWN,CER,7.766,1,1,4,0.922,0.922,0,20,20,17.0852,0,7.766,0,7.766,0,0.95,1,1,0,0,0,100,0,1
4,VPP NRN,CER,5.582,1,1,5,0.922,0.922,0,20,20,12.2804,0,5.582,0,5.582,0,0.95,1,1,0,0,0,100,0,1
5,VPP OFR,CER,12.676,1,1,6,0.922,0.922,0,20,20,27.887200000000004,0,12.676,0,12.676,0,0.95,1,1,0,0,0,100,0,1
6,VPP CLN,CER,18.716,1,1,7,0.922,0.922,0,20,20,41.175200000000004,0,18.716,0,18.716,0,0.95,1,1,0,0,0,100,0,1
7,VPP PHM,CER,12.503,1,1,8,0.922,0.922,0,20,20,27.506600000000002,0,12.503,0,12.503,0,0.95,1,1,0,0,0,100,0,1
8,VPP LLG,CER,4.249,1,1,10,0.922,0.922,0,20,20,9.3478,0,4.249,0,4.249,0,0.95,1,1,0,0,0,100,0,1
9,2hBESS CRE,DER,5,1,1,2,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
10,2hBESS LYD,DER,5,1,1,3,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
11,2hBESS BWN,DER,5,1,1,4,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
12,2hBESS NRN,DER,5,1,1,5,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
13,2hBESS OFR,DER,5,1,1,6,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
14,2hBESS CLN,DER,5,1,1,7,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
15,2hBESS PHM,DER,5,1,1,8,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
16,2hBESS PSHTEE,DER,5,1,1,9,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
17,2hBESS LLG,DER,5,1,1,10,0.917,0.917,0,20,20,10,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
18,4hBESS CRE,DER,5,1,0,2,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
19,4hBESS LYD,DER,5,1,0,3,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
20,4hBESS BWN,DER,5,1,0,4,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
21,4hBESS NRN,DER,5,1,0,5,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
22,4hBESS OFR,DER,5,1,0,6,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
23,4hBESS CLN,DER,5,1,0,7,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
24,4hBESS PHM,DER,5,1,0,8,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
25,4hBESS PSHTEE,DER,5,1,0,9,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
26,4hBESS LLG,DER,5,1,0,10,0.922,0.922,0,20,20,20,0,5,0,5,0,0.98,0,0,0,0,0,100,0,1
