id_dr,name,tech,id_dem,active,investment,capacity,n,shift,pshup_max,pshdn_max,esh_max,esh_min,rec_sh,cost_sh,reduct,pred_max,cost_red,ramp,ramp_up,ramp_dn
1,DSP_TAS_B1,DSP,1,1,1,0.2343,0,0,0,0,0,0,0,0,1,0.2343,300,0,0,0
2,DSP_TAS_B2,DSP,1,1,1,3.6374,0,0,0,0,0,0,0,0,1,3.6374,500,0,0,0
3,DSP_TAS_B3,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
4,DSP_TAS_B4,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
5,DSP_TAS_B1,DSP,2,1,1,0.1043,0,0,0,0,0,0,0,0,1,0.1043,300,0,0,0
6,DSP_TAS_B2,DSP,2,1,1,1.6183,0,0,0,0,0,0,0,0,1,1.6183,500,0,0,0
7,DSP_TAS_B3,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
8,DSP_TAS_B4,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
9,DSP_TAS_B1,DSP,3,1,1,0.1398,0,0,0,0,0,0,0,0,1,0.1398,300,0,0,0
10,DSP_TAS_B2,DSP,3,1,1,2.1695,0,0,0,0,0,0,0,0,1,2.1695,500,0,0,0
11,DSP_TAS_B3,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
12,DSP_TAS_B4,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
13,DSP_TAS_B1,DSP,4,1,1,0.1005,0,0,0,0,0,0,0,0,1,0.1005,300,0,0,0
14,DSP_TAS_B2,DSP,4,1,1,1.5593,0,0,0,0,0,0,0,0,1,1.5593,500,0,0,0
15,DSP_TAS_B3,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
16,DSP_TAS_B4,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
17,DSP_TAS_B1,DSP,5,1,1,0.2281,0,0,0,0,0,0,0,0,1,0.2281,300,0,0,0
18,DSP_TAS_B2,DSP,5,1,1,3.5412,0,0,0,0,0,0,0,0,1,3.5412,500,0,0,0
19,DSP_TAS_B3,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
20,DSP_TAS_B4,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
21,DSP_TAS_B1,DSP,6,1,1,0.3368,0,0,0,0,0,0,0,0,1,0.3368,300,0,0,0
22,DSP_TAS_B2,DSP,6,1,1,5.2285,0,0,0,0,0,0,0,0,1,5.2285,500,0,0,0
23,DSP_TAS_B3,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
24,DSP_TAS_B4,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
25,DSP_TAS_B1,DSP,7,1,1,0.225,0,0,0,0,0,0,0,0,1,0.225,300,0,0,0
26,DSP_TAS_B2,DSP,7,1,1,3.4927,0,0,0,0,0,0,0,0,1,3.4927,500,0,0,0
27,DSP_TAS_B3,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
28,DSP_TAS_B4,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
29,DSP_TAS_B1,DSP,8,1,1,0.0765,0,0,0,0,0,0,0,0,1,0.0765,300,0,0,0
30,DSP_TAS_B2,DSP,8,1,1,1.1871,0,0,0,0,0,0,0,0,1,1.1871,500,0,0,0
31,DSP_TAS_B3,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,1000,0,0,0
32,DSP_TAS_B4,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
