id_gen,name,fuel,tech,investment,active,id_bus,capacity,forate,pmin,pmax,rup,rdw,cvar,co2,slope,pfrmax,inertia,ffr,pfr,res2,res3,powerfactor,n,contingency
1,RPV CRE,RoofPV,CER,0,1,2,35.78,1,0,35.78,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
2,RPV LYD,RoofPV,CER,0,1,3,15.919,1,0,15.919,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
3,RPV BWN,RoofPV,CER,0,1,4,21.341,1,0,21.341,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
4,RPV NRN,RoofPV,CER,0,1,5,15.338,1,0,15.338,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
5,RPV OFR,RoofPV,CER,0,1,6,34.834,1,0,34.834,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
6,RPV CLN,RoofPV,CER,0,1,7,51.432,1,0,51.432,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
7,RPV PHM,RoofPV,CER,0,1,8,34.357,1,0,34.357,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
8,RPV LLG,RoofPV,CER,0,1,10,11.677,1,0,11.677,9999,9999,0,0,0,0,0,0,0,0,0,1,1,1
9,SVC 2,SVC,SVC,1,1,2,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
10,SVC 3,SVC,SVC,1,1,3,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
11,SVC 4,SVC,SVC,1,1,4,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
12,SVC 5,SVC,SVC,1,1,5,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
13,SVC 6,SVC,SVC,1,1,6,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
14,SVC 7,SVC,SVC,1,1,7,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
15,SVC 8,SVC,SVC,1,1,8,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
16,SVC 9,SVC,SVC,1,1,9,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
17,SVC 10,SVC,SVC,1,1,10,10,1,0,10,9999,9999,0,0,0,0,0,0,0,0,0,1,0,1
