id_dr,name,tech,id_dem,active,investment,capacity,n,shift,pshup_max,pshdn_max,esh_max,esh_min,rec_sh,cost_sh,reduct,pred_max,cost_red,ramp,ramp_up,ramp_dn
1,DSP_VIC_B1,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
2,DSP_VIC_B2,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
3,DSP_VIC_B3,DSP,1,1,1,1.1065,0,0,0,0,0,0,0,0,1,1.1065,1000,0,0,0
4,DSP_VIC_B4,DSP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
5,DSP_VIC_B1,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
6,DSP_VIC_B2,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
7,DSP_VIC_B3,DSP,2,1,1,0.4923,0,0,0,0,0,0,0,0,1,0.4923,1000,0,0,0
8,DSP_VIC_B4,DSP,2,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
9,DSP_VIC_B1,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
10,DSP_VIC_B2,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
11,DSP_VIC_B3,DSP,3,1,1,0.6599,0,0,0,0,0,0,0,0,1,0.6599,1000,0,0,0
12,DSP_VIC_B4,DSP,3,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
13,DSP_VIC_B1,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
14,DSP_VIC_B2,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
15,DSP_VIC_B3,DSP,4,1,1,0.4743,0,0,0,0,0,0,0,0,1,0.4743,1000,0,0,0
16,DSP_VIC_B4,DSP,4,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
17,DSP_VIC_B1,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
18,DSP_VIC_B2,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
19,DSP_VIC_B3,DSP,5,1,1,1.0772,0,0,0,0,0,0,0,0,1,1.0772,1000,0,0,0
20,DSP_VIC_B4,DSP,5,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
21,DSP_VIC_B1,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
22,DSP_VIC_B2,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
23,DSP_VIC_B3,DSP,6,1,1,1.5905,0,0,0,0,0,0,0,0,1,1.5905,1000,0,0,0
24,DSP_VIC_B4,DSP,6,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
25,DSP_VIC_B1,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
26,DSP_VIC_B2,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
27,DSP_VIC_B3,DSP,7,1,1,1.0625,0,0,0,0,0,0,0,0,1,1.0625,1000,0,0,0
28,DSP_VIC_B4,DSP,7,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
29,DSP_VIC_B1,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,300,0,0,0
30,DSP_VIC_B2,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,500,0,0,0
31,DSP_VIC_B3,DSP,8,1,1,0.3611,0,0,0,0,0,0,0,0,1,0.3611,1000,0,0,0
32,DSP_VIC_B4,DSP,8,1,1,0,0,0,0,0,0,0,0,0,1,0,7500,0,0,0
